job_title,rating,average,company,reviews,location,desc,datepost
Data Analyst,4.2,0,Warner Bros Careers,651,"New York, NY","Opportunity Overview
The Turner Story
Turner is a division of WarnerMedia along with our sister companies, HBO and Warner Bros., delivering brands like CNN, HLN, TNT, TBS, Adult Swim, Cartoon Network, Turner Sports and so much more! http://www.turner.com/

See what it’s like to work at Turner! Follow us on Instagram,Twitter and Facebook

The Job
The Revenue Analytics team developed a Data Warehouse and Business Intelligence Platform to unlock Turner's digital ad data and drive revenue growth for Turner's world class digital properties. The next phase of development will focus on building machine learning based products (e.g., forecasting tools, first-party audience segments) leveraging the existing data platform. The Senior Data Analyst will lead the development of these new capabilities in partnership with stakeholders in Product Management, Engineering, Revenue Operations, and Ad Sales.

The Daily
Analyze Turner's digital ad sales inventory, audience, and monetization data that will uncover new insights and business opportunities.
Build compelling data visualizations to communicate data-driven insight.
Develop machine learning models to help answer business questions and to create new data-driven capabilities.
Work closely with business stakeholders (Business Operations, Sales, Yield, etc.) to identify data-driven solutions for the digital ad sales business.
Build data-driven solutions using best in class cloud computing technology.
Partner with Data Engineering to develop data pipelines for onboarding, transforming and exposing new data sources.
The Essentials
To be successful in the role, you'll need to be intellectually curious, detail-oriented, open to new ideas, and possess a strong aptitude for quantitative methods
The role requires a strong statistical background, familiarity with modern data warehouses, experience with SQL-like tools, and knowledge of scripting languages (e.g., python)
Experience with predictive modeling or machine learning a plus (e.g., data science, data mining)
1+ years of analytics experience
Experience working with Python, Hive, Presto, and Spark
Experience working with machine learning packages (Spark ML, Scikit-learn)
Experience working with Looker a plus - Strong oral, written and presentation skills
Preference for prior technology or media company experience
Prior experience with AWS is a plus
Ability to partner with various teams (non-technical to technical)
Bachelors' degree preferred (Statistics, Engineering, Computer Science, Mathematics, Physics, etc.)
The Perks
Paid time off every year to volunteer
Access to well-being tools, resources, and freebies
2018 Best Company for Working Mothers
2018 Best Company for Dads
An in-house learning and development team to help shape and grow your career
Part of the WarnerMedia family of powerhouse brands

Turner Broadcasting System, Inc. and its subsidiaries are Equal Opportunity Employers and E-Verify users. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, or protected veteran status.",15
Data Analyst,3.9,0,BazaarVoice,64,"New York, NY","About Influenster & Our Mission:
Bazaarvoice completed the acquisition of Influentster in August 2019 and with the 2 companies coming together we are able to create an even more attractive proposition for our clients.

Influenster is a digital destination where consumers discover products and reviews that enable them to make well-informed purchase decisions. With over 6 million members who have written over 38 million product reviews, we believe the consumer is the expert - everything we do within Influenster is centered around this philosophy.

Values:
At Influenster, we are user obsessed and value user-generated content and user experience above all else. We are proud of our collaborative work environment and practice unfiltered, professional, straightforward, and authentic communication. We are fast and innovative in our work, and we consistently set the bar high. The Influenster team is results driven, solution oriented, and resourceful. Our team sets the bar high to operate with integrity and respect. By empowering each other in the workplace and by empowering the Influenster community we serve, we achieve consistent success by guiding members to make informed, personalized purchases.

Work environment:
We are a dynamic fast paced work environment where each person has a strong voice. We give a high level of responsibility to all our team members and we’re proud of our award-winning collaborative work environment. We are always looking for ways to innovate and we value team members who bring fresh ideas to the table.

Analyst Role:
We're are looking for a Data Analyst to help us with our Review Source product review source to streamline campaign set-ups, execution as well as reporting. The ideal candidate has a strong interest in user generated content, market research, sampling, and is comfortable using Excel.
Responsibilities:
Coordinate with sales and accounts to collect all the necessary specs in order to kick off reviewSource campaigns
Identify and populate missing product pages needed for reviewSource campaigns
Set up reviewSource campaigns on the Influenster backend
Track campaign performance, and update sales/accounts periodically, flag any issues with appropriate parties
Do ad-hoc analysis to trouble-shoot issues
Prepare post campaign reports to share with accounts/sales
Create new snap questions and track and analyze existing snaps to maximize review yield
Help Product Managers in the process of creating programmatic reviewSource solutions
Qualifications:
Very familiar with Excel and SQL
Superior organizational skills and attention to detail
Excellent verbal and written communication skills
Ability to work collaboratively with multiple teams
Comfortable working in a fast-paced environment
Proactive problem solver
Interest in the consumer product industry
Experience in the survey research industry is a plus
Perks:
Opportunity for growth
Fast-paced, high growth work environment
Friendly, fun, and collaborative team-based work environment
Diversity of work projects
Frequent lunches and happy hours
Dog friendly work environment
Fully stocked fridge and cold brew
Fun, creative, open, award-winning work space
Health, dental, vision insurance
Paid vacation, flex time, holidays
401K
About Bazaarvoice

Bazaarvoice connects brands and retailers to consumers, so that every shopping experience feels personal. From search and discovery to purchase and advocacy, Bazaarvoice’s solutions reach in-market shoppers, personalize their experiences, and give them the confidence to buy. Each month in the Bazaarvoice Network, more than a billion consumers view and share authentic content including reviews, questions and answers, and social photos across 6,000 brand and retail websites. Across the network, Bazaarvoice captures billions of shopper signals monthly - data that powers high-efficiency digital advertising and personalization with unmatched relevance.

Founded in 2005, Bazaarvoice is headquartered in Austin, Texas with offices in North America, Europe, and Australia. For more information, visit www.bazaarvoice.com.

Why join Bazaarvoice?
We’re committed to client success: There are over 5K brand and retail websites in the Bazaarvoice network. Our clients represent some of the world’s leading companies across a wide range of industries including retail, apparel, automotive, consumer electronics and travel.We’re leaders in consumer-generated content: Each month, more than one-half billion consumers view and share authentic consumer-generated content, such as ratings and reviews, curated photos, social posts and videos, about products in our network. Last year, 135K reviews were submitted each day.Our network delivers: Network analytics provide insights that help marketers and advertisers provide more engaging experiences that drive brand awareness, consideration, sales, and loyalty.We’re a great place to work: We pride ourselves on our unique culture. Join a company that values passion, innovation, authenticity, generosity, respect, teamwork, and performance.

Commitment to diversity and inclusion

Bazaarvoice provides equal employment opportunities (EEO) to all team members and applicants according to their experience, talent, and qualifications for the job without regard to race, color, national origin, religion, age, disability, sex (including pregnancy, gender stereotyping, and marital status), sexual orientation, gender identity, genetic information, military/veteran status, or any other category protected by federal, state, or local law in every location in which the company has facilities. Bazaarvoice believes that diversity and an inclusive company culture are key drivers of creativity, innovation and performance. Furthermore, a diverse workforce and the maintenance of an atmosphere that welcomes versatile perspectives will enhance our ability to fulfill our vision of creating the world’s smartest network of consumers, brands, and retailers.",14
Analyst Data,4.2,0,NewYork-Presbyterian Hospital,1,"Manhattan, NY","Location
New York, New York
Shift:
Day (United States of America)
Description:
Feel The Pride!
Data Analyst-New York, NY
Monday-Friday 9:00am-5:00pm overtime as needed
Join the patient-inspired team at NewYork-Presbyterian, and bring new meaning to your career. Thrive as a valued member of the team at New York’s #1-ranked hospital (U.S.News & World Report), and feel the pride of mission-driven achievement. Be the face of efficient and effective financial operations, and help make a life-changing difference.
The Analyst will provide the department strong analytical skills and is responsible for internal and external reporting. Position activities are primarily rooted in basic research oriented behaviors including sampled review and data collection, basic measurement such as aggregation and summarization of data and general statistics and document practices
Required Criteria
Bachelor’s Degree
Minimum of one to three years of related experience
Proficient in Microsoft Excel, PowerPoint and Word
Join a hospital where employee engagement is at an all-time high. Enjoy competitive compensation along with benefits such as tuition reimbursement, hospital retirement contributions, and financial planning assistance. Start your life-changing journey today.
__________________
#1 in New York, ""America's Best Hospitals 2019-2020."" - U.S.News & World Report
2019 ""Best Places to Work: Employee's Choice."" - Glassdoor
2019 ""Employees' Choice: Top CEOs"" - Glassdoor
2019 ""America's Best Employers in New York State"" - Forbes
2019 ""150 Top Places to Work in Healthcare."" - Becker's Healthcare
2018 ""Top-Rated Work Places: Best Hospitals"" - Indeed
Discover why we're #1 in New York and a best employer at: nyp.org/careers
NewYork-Presbyterian Hospital is an equal opportunity employer.",23
Data Insights Analyst,3.7,0,Cox Media Group,416,"New York, NY 10017","The Media Insights Analyst will perform data runs and analysis through the use of multiple syndicated research sources to support the media ad sales team and consult clients on their campaign strategy. The right candidate will possess the curiosity to gain a deep understanding of consumer behavior and media trends with an eagerness to tell a persuasive story with their findings. In this role, the Media Insights Analyst will report to the Director of Insights and collaborate with the Sales, Marketing, Analytics, and Strategy Departments.

Ad-Hoc Research Analysis
Access, report, analyze and interpret raw data culled from various syndicated research providersTransform data points into creative and compelling insightsStrategically leverage qualitative data and insights to support internal Account Executives to drive sales revenue growthAlign client needs and challenges with research analysis to uncover marketing solutionsAttend and participate in internal/external meetings as needed; understand business objectives and serve as a vocal subject matter expert when communicating to othersReview advertising trends alongside consumer insights to identify prospective media opportunities for brands and clientsClearly display research and insights through written and designed deliverables that effectively communicate the messageIndependently manage project deadlines to ensure the timely delivery of ad-hoc sales requests
Prepare Data-Driven Marketing Material
Contribute ideas and assist in cultivating concepts during team brainstorm gatherings, working on special projects and partnering with peers and other data departments within Gamut and CMGCollaborate with marketing team to develop data-driven sales collateral that clearly articulates research and insightsKeep abreast of industry trends to monitor the ever-changing media landscape, specifically video consumption; remain informed on current and relevant business topics

Qualifications:BA/BS degree in Marketing, Communications, Business Administration or related field preferredFamiliar with syndicated research providers including MRI-Simmons, Hitwise, and comScore<1 year experience in a media research role or internship at a media agency, broadcast/digital company, or research firmProficient in Microsoft Office, specifically PowerPoint and ExcelKnowledge of digital and TV audience measurementPossess excellent verbal and written communication skillsMotivated self-starter who has a strong desire and curiosity to learn about media, marketing, brands and advertisingResourceful problem-solver with a willingness and determination to offer up solutionsAmbition to deliver exceptional and impactful insights that drive positive resultsExtremely attentive to detail; organized and diligent with strong time management skills

About Cox Media Group

Cox Media Group is an integrated broadcasting, publishing and digital media company. The company’s operations currently include broadcast television stations, radio stations, daily newspapers, and digital sites. Additionally, CMG operates the National Advertising Platform businesses of CoxReps - the country’s biggest television rep firm - Gamut, and Videa. The company also offers a full suite of local and regional advertising services through its Local Solutions and Ideabar businesses. CMG currently operates in more than 20 media markets and reaches approximately 52 million Americans weekly across all platforms. For more information about Cox Media Group, please check us out online at www.coxmediagroup.com.
Cox is an Equal Employment Opportunity employer - All qualified applicants/employees will receive consideration for employment without regard to that individual’s age, race, color, religion or creed, national origin or ancestry, sex (including pregnancy), sexual orientation, gender, gender identity, physical or mental disability, veteran status, genetic information, ethnicity, citizenship, or any other characteristic protected by law.
Statement to ALL Third-Party Agencies and Similar Organizations: Cox accepts resumes only from agencies with which we formally engage their services. Please do not forward resumes to our applicant tracking system, Cox employees, Cox hiring manager, or send to any Cox facility. Cox is not responsible for any fees or charges associated with unsolicited resumes.",2
Data Analyst,3.3,0,Gallagher,809,"New York, NY","Gallagher is a global leader in insurance, risk management and consulting services. We help businesses grow, communities thrive and people prosper. We live a culture defined by The Gallagher Way, our set of shared values and guiding tenets. A culture driven by our people, over 30,000 strong, serving our clients with customized solutions that will protect them and fuel their futures.

Essential Duties and Responsibilities:
Under general direction, provides support for one or more functional groups, including performance of a wide variety of specialized clerical functions involving compiling and arranging data, laying out and preparing reports, processing and coding documents, and maintaining specialized and comprehensive records and filing.
Sets up and prepares statistical reports.
Job Purpose:

The Data Analyst works under general direction to provide support for one or more functional groups, including performance of a wide variety of specialized clerical functions.

Main Accountabilities:
Compiling and arranging data, laying out and preparing reports, processing and coding documents, and maintaining specialized and comprehensive records and filing
Sets up and prepares statistical reports
 Required:
High School Diploma or equivalent
Two or more years work experience
Desired:

U.S. Eligibility Requirements:
Interested candidates must submit an application and resume/CV online to be considered
Must be 18 years of age or older
Must be willing to submit to a background investigation; any offer of employment is conditioned upon the successful completion of a background investigation
Must have unrestricted work authorization to work in the United States. For U.S. employment opportunities, Gallagher hires U.S. citizens, permanent residents, asylees, refugees, and temporary residents. Temporary residence does not include those with non-immigrant work authorization (F, J, H or L visas), such as students in practical training status. Exceptions to these requirements will be determined based on shortage of qualified candidates with a particular skill. Gallagher will require proof of work authorization
Must be willing to execute Gallagher's Employee Agreement or Confidentiality and Non-Disclosure Agreement, which require, among other things, post-employment obligations relating to non-solicitation, confidentiality and non-disclosure
Gallagher offers competitive salaries and benefits, including: medical/dental/vision plans, life and accident insurance, 401(K), employee stock purchase plan, educational expense reimbursement, employee assistance program, flexible work hours (availability varies by office and job function) training programs, matching gift program, and more.


Gallagher believes that all persons are entitled to equal employment opportunity and does not discriminate against nor favor any applicant because of race, sex, color, disability, national origin, religion, creed, age, marital status, citizenship, veteran status, gender, gender identity / expression, actual or perceived sexual orientation, or any other protected characteristic. Equal employment opportunity will be extended in all aspects of the employer-employee relationship, including, but not limited to, recruitment, hiring, training, promotion, transfer, demotion, compensation, benefits, layoff, and termination. In addition, Gallagher will make reasonable accommodations to known physical or mental limitations of an otherwise qualified applicant with a disability, unless the accommodation would impose an undue hardship on the operation of our business.",1
"Analyst, Data & Analysis",3.8,0,Digitas,177,"New York, NY 10104",,7
Financial Data Analyst,3,0,VillageCare,30,"Manhattan, NY",,7
"Analyst, Vantage Data Solution",4.1,0,Viacom,607,"New York, NY 10036","Overview and Responsibilities
Advertising is being reinvented through big data, audience segmentation tools, digital platforms and formats as well as new consumer consumption patterns. Viacom is forefront of this reinvention of advertising, with a broad range of products and programs designed to connect with Viacom’s fans in whatever environments and on whatever platforms are most significant to them.

In this role, you will work with a team of product managers, sales executives and data engineers who design and deliver advanced advertising products and experiences for the Viacom Vantage platform for advanced advertising.

Work with product managers to fully operationalize Viacom’s internal tools for audience data creation and management.
Partner with data science teams in the improvement of data operations and analysis
Provide insight into solutions and capabilities of Viacom data assets
Work with external vendors to lead transfer of data on behalf of Viacom
Serve as team guide for use of data in advertising
Basic Qualifications
2-5 years working experience in data analytics, or data science in the Media/Advertising industry
A deep understanding of audience-based ad targeting, data operations, and data analytics
An understanding of advertising business models in TV and digital
Working knowledge of how data is used within the media ecosystem
Ability to communicate complex information in a clear and concise manner
Additional Qualifications
Passion for problem-solving and the ability to find answers to difficult questions – the sort of answers that others might struggle to find
An ambitious approach that is passionate about building businesses within a fast-paced environment, while changing the way partners perceive our brand and our products
#LI-AD1",2
Data Analyst,3.8,0,ADP,5,"New York, NY 10261","Location: 240 W 37th St, New York, NY 10018
What is WorkMarket?
Every day, thousands of professionals use WorkMarket, an ADP Company, to support the on-demand needs of large organizations. With the Freelance economy expanding at an ever-faster pace, its propulsion has influenced the traditional means of how work gets done. Understanding the impact this groundswell is having on the modern-day economy requires synthesizing data…lots and lots of data. Consequently, we produce iceberg-sized data and – if you’ll excuse the metaphor – we’re only at the tip of analyzing it all.
As a Data Analyst, you’ll work with the Head of Data & Analytics and in collaboration across all corporate functions, to build dashboards, reporting tools, ad-hoc queries, and detailed analysis. This includes adapting our data warehouse and reporting tools to match our fast-paced business needs. Further, you will help shape how our teams and user base consume data on a real-time basis.
Why you should join us?
WorkMarket is one of NYC’s fastest-growing companies and was recently acquired by the most trusted name in human capital management, ADP. From New York to Toronto - the entire WorkMarket team is committed to building powerful enterprise software that can help the biggest companies on the planet work smarter and faster.
WorkMarket offers the vibe of a startup with the resources of a Fortune 500 company, and you’ll have plenty of opportunities to help drive our product and technology strategy. Our dynamic team of engineers are passionate about what they do and have fun along the way.
Responsibilities include
Developing data models to capture and report on KPIs
Building dashboards and tools to support our internal teams
Exploring our data to uncover meaningful insights in changes to help drive company growth
Contextualizing data for a variety of audiences, internally and externally
A myriad of data projects as needs arise
Qualifications
2+ years of experience as a Data Analyst
Experience with BI tools (Looker, Tableau, et al)
Demonstrated interest in exploring data and extracting valuable insights
Proven analytical, problem-solving, and troubleshooting expertise
Proficiency in SQL, preferably across a number of dialects (we commonly write MySQL, PostgreSQL, and Redshift)
Ability to learn and assimilate technical information quickly
Bonus points for
Experience with version control and shell commands (git, github, SSH, *nix, etc.)
Python for Data Analysis (pandas, scikit-learn, etc.)
Java and Tomcat
Database/query performance optimization
Comfort with the AWS ecosystem (EC2, S3, RDS, Redshift, et al)
Experience with data warehousing (Stars and Snowflakes!)
Knowledge of SaaS-based business
Enterprise-grade data and systems knowledge
Tolerance for the occasional data cleansing",4
"Data Analyst, PNA",3.8,0,New York City NYC HOUSING AUTHORITY,754,"Manhattan, NY","Please read this posting carefully to make certain you meet the qualification requirements before applying to this position.

Job Description

Reporting to the Senior Physical Needs Assessment (PNA) Manager in the Capital Planning Group, with latitude for independent initiative and judgment, the Data Analyst, PNA performs detailed analyses, develops and generates reports on Physical Needs Assessment findings, planned projects and NYCHA’s long and short-term Capital Planning needs. The responsibilities include but are not limited to the following:

1. Track planned capital investments and comparative impact on NYCHA’s physical needs.
2. Monitor planned capital investment strategies for all funding sources across NYCHA’s portfolio.
3. Generate reports, charts and graphs for leadership that illustrate capital investment opportunities.
4. Conduct, analyze and prepare condition assessment reports based on building components and infrastructure needs at the development and portfolio level to make recommendations in formulating project needs, options and consequences.
5. Analyze financial and investment opportunities to seek additional funding sources for NYCHA’s Capital Plan.
6. Determine operational cost savings achieved as a result of capital investments.
7. Review and recommend technical scopes of work for projects in the Capital Plan.
8. Review and analyze skilled trade and maintenance work tickets to prioritize capital investments across portfolio of developments.
9. Analyze and track new needs identified by Operations during the annual capital planning process.
10. Utilize the Physical Needs Assessment database and data collected from various NYCHA’s stakeholders.

NOTE: This position is open to qualified persons with a disability who are eligible for the 55-a Program. Please indicate in your cover letter that you would like to be considered for the position under the 55-a Program. For detailed information regarding the 55-a Program, please click on the link below:
http://www.nyc.gov/html/dcas/downloads/pdf/psb/100_1.pdf


Minimum Qual Requirements

1.A baccalaureate degree from an accredited college or university and three years of full-time satisfactory professional experience in the development, appraisal, financing, negotiation, or disposition of real estate, or in real estate law, or in urban planning or analytical or coordination work related to housing programs; or


2. A four year high school diploma or its educational equivalent approved by a State's Department of Education or a recognized accrediting organization and seven years of full-time satisfactory experience as described in ""1"" above; or


3.A satisfactory combination of education and/or experience which is equivalent to ""1"" or ""2"" above. Graduate study in the field of urban studies, city planning, business or public administration, finance, architecture, engineering or other related fields may be substituted for up to one year of the required experience on the basis of 30 credits equaling one year of experience. Graduation from an accredited law school may be substituted for one year of the required experience. However, all candidates must have at least two years of experience as described above.


Preferred Skills

1. Strong verbal skills; ability to write clearly and persuasively; discipline to work independently or in complex group dynamics and meet short time frames.
2. Ability to synthesize complex data and present information to those unfamiliar with source material; ability to work well among a diverse population of stakeholders.
3. Advanced skill using Word, Excel, and Power Point software.
4. Database management and reporting experience and knowledge of project management software programs.
5. Ability to create, modify and update reports utilizing various department data sources.


Additional Information

1. Employees serving in the titles of or who meet the qualification requirements for Economist L3 and City Research Scientist L2 will be considered.
2. Candidates may be given a skills assessment as part of the interview process.
3. NYCHA employees applying for promotional, title or level change opportunities must have served a period of one year in their current title and level (if applicable).


To Apply

Click the ""Apply Now"" button.


Residency Requirement

NYCHA has no residency requirements.",30
