,com_rating,job1,location,Salary_min($),Salary_max($),datepost,desc,lat,lng
0,3.5,Data Analyst,"Edison, NJ",49000,76000,26d,"About HealthECHealthEC is a leading innovator and KLAS-recognized Population Health Management company dedicated to improving patient outcomes, managing costs and optimizing patient quality of life for the customers we serve. A comprehensive solution suite integrates all electronic patient data (any system, any setting of care, and in any format) and applies sophisticated analytics to identify provider-specific patterns and guide patient care interventions. HealthEC’s platform helps customers coordinate care and maximize incentive payments by identifying and managing high risk and chronically ill patients, and addressing gaps in care. Sophisticated care models simplify clinical workflow, engage patients in their care, and optimize performance to support quality measure reporting. Job descriptionHealthcare Data Analyst Responsibilities: Compiling and organizing healthcare data. Analyzing data to assist in delivering optimal healthcare management and decision making. Understanding data storage and data sharing methods. Understanding healthcare business operations. Utilizing different data sources for analyses. Converting data into usable information that is easy to understand. Developing reports and presentations. Communicating analytic insights to management. Bachelor's degree in Mathematics, Statistics, Healthcare Administration or related field. Master's degree advantageous. 2+ years’ experience in an analytic role. Proficiency with database programming languages such as SQL. Proficiency with PowerBI/Tableau for data manipulation. Experience with data visualization tools. Knowledge of data management applications. Proficiency managing electronic medical records. Analytical mindset with good problem-solving skills. Excellent written and verbal communication skills. Python/ML knowledge is good to have",40.5187154,-74.4120953
1,3.7,Data Analyst,"New York, NY",53000,86000,18d,"Blink Health is a well-funded healthcare technology company on a mission to make prescription drugs more accessible and affordable for everyone. We're scaling up in a highly complex vertical to change the way Americans access the prescription drugs they need.  Our proprietary platform and supply chain allows us to offer everyone whether they have insurance or not amazingly inexpensive prices on over 15,000 medications. With the addition of telemedicine and home delivery for prescriptions, Blink is providing a life-changing experience for people all over the country and fixing how opaque, unfair and overpriced healthcare has become. We are a highly collaborative team of builders and operators who invent new ways of working in an industry that historically has resisted innovation. Join us! Success:You are a data scientist who, above all, is excited to build products that give our customers the best possible experience purchasing prescription medications. You have professional experience working on a team turning ideas into reliable, maintainable code.The Data Team is a small team building the Big Data infrastructure at Blink.The team is responsible for architecting and building infrastructure, frameworks and tooling to enable data driven decisions; developing reports, dashboards, and metrics to provide accurate and timely information; and supporting various product and business groups with recommendation and in-depth analyses.Our data platforms are built using tools available on AWS including Redshift, Data Pipeline, Spark, Looker.You will collaborate closely with engineers, analysts, and business stakeholders across the organization to provide accurate, timely data and efficient, impactful insights.You will also be working with external vendors and services. You will work with our senior analyst taking ownership of our self-service analytics tool, Looker. You will be the liaison between marketing, engineering, all business teams and the data team. By developing and maintaining Blink's source of truth business logic data layer, you will have a direct, visible, and profound effect upon a data-driven organization that is revolutionizing the way people pay for prescription medicine.How to achieve success/acumen: All Blinkers are expected to operate with our value of ""Good Giving"" in mind. Our culture is infused with the dedication and enthusiasm of employees who continuously strive to make a difference. Here's how you will do that in this role.  Good Execution - Do your best work Develop and maintain data products and analytics infrastructureOptimize queries for performanceWork with internal customers to develop optimized models and views for their needsGuide business analysts on high-quality efficient SQLDevelop business analysis solution in our self-service analytics toolGuide the rest of the organization on best practicesWork on in-depth analyses and discover data value Good Owner - Be the CEO of your role Help the team ship new products and features successfully with the right skills, mentorship and organizational resources to deliver amazing experiences for our patientsCoach, mentor and develop engineers to reach individual goals while fostering cross-functional collaboration and product successTake responsibility for the long term success of product projects and people Good Learning - Learn something new every day Demonstrate curiosity and an interest in learning new techniques and improving upon best practices to stay up-to-date with current and emerging trendsLead by example putting new ideas into action, failing fast and learning from each experience Good Feedback - Consider the perspective of others Listen actively and respond effectively through a variety of channelsGive and receive candid and constructive feedbackPromote trust and encourage teamwork allow the product team to do their best workDesired experience:2+ years experience having worked in a Data Science role.You have experience working with an analytical platform.You are an expert in SQL.You are very interested in learning about MPP databases. If you worked with one, that is a big plus.You are very interested in becoming a great data modeler. If you already are, that is great.You are comfortable in a fast-paced, agile environment.Can communicate effectively with other engineers, designers, product managers, and anyone else at BlinkCollaborative and Communicative - you love being part of a diverse team, building consensus, and establishing credibility. You are a Class-A communicator: curious, thoughtful, clear, and (mostly) correct.BA/BS degree from top institution; MBA or CompSci degree preferred but not required.Why Join Us:At Blink, we put humans first. We want everyone at Blink to be able to do the best work of their lives. We are a relentlessly learning, constantly curious and aggressively collaborative cross-functional team dedicated to inventing new ways to improve the lives of our customers. Learn more: Blink Website  Blink Pharmacy App for Android  Blink Pharmacy App for iOS We are an equal opportunity employer and value diversity of all kinds. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",40.7127753,-74.0059728
2,2.8,Big Data Analyst / Engineer,"New York, NY",43000,70000,11d,"JOB Description: Big Data Analyst / EngineerLocation: New York, NY (preferred) OR San Jose, CADepartment: Data Engineering and InsightsHours/Shift: Full TimeReports To: Director, FI AnalyticsJob Description:Affinity Solutions is looking for a hands-on and self-driven Big Data Analyst/Engineer, preferably with experience in the bank card loyalty/fin-tech/advertising/marketing space, to enhance and automate its data and analytics infrastructure to support its growing customer base and expanding partner ecosystem. The position is based in New York, NY, and reports into the Data Engineering and Insights division. The demand for advanced analytical solutions continues to grow exponentially, and this is your opportunity to grow with us in a fast-paced, collaborative environment.The ideal candidate is a passionate and highly skilled individual, who can utilize programming and analytics tools such as SQL, Python, and Tableau to query and process large data sets to produce high quality customer facing data deliverables and insights. If you have experience designing and building business intelligence/analytics applications, especially around credit/debit card transactions, unified consumer behavioral and profile data, and excited about leveraging your experience to catapult a venture-backed company into hyper-growth, this job is for you.Responsibilities:Design and maintain analytical database structures and requirements to manage and process various data sets (Affinity in-house and 3rd party data)Convert OLTP data into OLAP for reporting/analytics/modeling purposeDevelop analytical data assets with an eye towards process efficiency and automation through scripting.Communicate and present data to both internal and external customers by developing reports/dashboards/charts using BI tools such as TableauWork closely with a dynamic and growing team of account managers, data engineers and data scientists to perform quantitative analysis of customer data, including gathering data requirements and validate data, applying judgement and statistical analysis to assist with planning and decision making.Other responsibilities include but not limited to - data validation, troubleshooting issues, process documentation, campaign analysis, Quarterly Business Reviews.Qualifications:Bachelor’s or Master’s degree in Computer Science or related field such as Mathematics and Statistics, preferably with focus on Data Analytics.At least 1 year of hands-on experience in designing and building analytical data applications and BI ReportingProficient in SQL and Tableau, familiar with at least one coding language in Python/Shell scripting. Nice to have R / SAS Programming experience.Experience in using Cloud based managed services and Hadoop for data warehousing/analytics is a big plus – e.g. Amazon RedShift, Hive, MapR.Very strong written and verbal communication skills; Ability to tell a story with the dataAnalytical thinker, with an ability to evaluate multiple products/technologies to address various aspects of a big data platform.Experience working on UNIX / Linux development and production environmentsExperience working in Agile software development environmentsStrong organization skills with attention to detail is a must.Ability to manage multiple conflicting priorities, take proactive ownership of problems and outcomes, think outside the boxKnowledge of Retail and Financial verticals is useful but not required.Experience in the Bank loyalty/FinTech/AdTech industry, especially knowledge of Bank card loyalty, Email and Digital Marketing Campaigns, DMPs, programmatic advertising is a big plus.",40.7127753,-74.0059728
3,2.7,"Data Analyst II (SQL, Tableau)","New York, NY",52000,86000,27d,"About ConduentConduent is the world's largest provider of diversified business process services with leading capabilities in transaction processing, automation, analytics and constituent experience. We work with both government and commercial customers in assisting them to deliver quality services to the people they serve. We manage interactions with patients and the insured for a significant portion of the U.S. healthcare industry. We are the customer interface for large segments of the technology industry and the operational and processing partner of choice for public transportation systems around the world. Whether it's digital payments, claims processing, benefit administration, automated tolling, customer care or distributed learning - Conduent manages and modernizes these interactions to create value for both our clients and their constituents. Learn more at www.conduent.com.Job DescriptionResponsibilitiesIdentify, analyze and interpret transaction trends, patterns and anomaliesBuild and maintain, daily, weekly dashboards in Tableau for the management teamDevelop ad-hoc SQL queriesConducts needs analysis, determines project specifications, and identifies solutions to a customer's business challenges.Compiles business data using industry specific knowledge to gain insight into a business organization and operating structure.Define process improvement opportunities based on data trendsRequirementsMinimum of 2 years’ of experience in Oracle, SQL, TableauAdept at Query writing, presenting findingsFamiliarity with Python, Java, ETL frameworks is an assetBachelors in Computer Science, Engineering, Information Management, Mathematics or relevant field is required.Excellent verbal and written communication skillsProblem solving aptitudeClosingConduent is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, creed, religion, ancestry, national origin, age, gender identity, gender expression, sex/gender, marital status, sexual orientation, physical or mental disability, medical condition, use of a guide dog or service animal, military/veteran status, citizenship status, basis of genetic information, or any other group protected by law. People with disabilities who need a reasonable accommodation to apply for or compete for employment with Conduent may request such accommodation(s) by clicking on the following link, completing the accommodation request form, and submitting the request by using the ""Submit"" button at the bottom of the form. For those using Google Chrome or Mozilla Firefox please download the form first: click here to access or download the form.",40.7127753,-74.0059728
4,2.8,Risk Data Analyst,"New York, NY",43000,70000,4d,"We're looking for a Risk Data Analyst to join our analytics team to help us take a data-driven approach to credit risk management. This will entail a deep understanding traditional and alternative consumer credit attributes, acquisition funnel dynamics, underwriting strategy and unit economics. This individual will be a self-starter who is able to effectively translate data into actionable recommendations.  Responsibilities: Leverage data-driven insights to drive changes to credit strategy, pricing, line assignmentWork closely with Lending Product ManagersBe an organizational expert on our tracking tools; educate and evangelize a data-driven approach throughout the user experienceContinue to develop our in-house risk analytics tools to track portfolio performance and make recommendationsPerform ad-hoc data studies based on requirements from managementWork with the senior management team to support decisions with data Requirements: 2+ years of credit risk and/or analytical experienceExperience working with databases (e.g. MongoDB,PostgreSQL, ElasticSearch, etc)Knowledge of R or PythonAbility formulate novel solutions to problems, communicate thought process clearly, and think within the context of larger business needs and targetsWe are unable to sponsor at the moment. Must be GC Holder or US Citizen",40.7127753,-74.0059728
5,2.8,Senior Data Analyst,"New York, NY",65000,101000,3d,"Position Summary The Senior Data Analyst works with the leads for the analytics function on the Analytics team at Moda Operandi. The ideal candidate is data-driven, with an ability to understand the bigger picture. This role is responsible for providing actionable insights that ultimately drive value. The Senior Data Analyst should be comfortable presenting those insights and recommendations to various individuals across the organization. What You'll DoAnalysis Own the delivery of digital analytics and insights across the business units, making recommendations and implementing improvements to current business practice.  Conduct ad hoc analyses that will advise the marketing team on how to maximize channel profitability and optimize promotional strategies.  Execute deep-dive analysis, through application of statistical methodologies, (such as cluster analyses) to provide insights into customer/marketing performance data Reporting Develop and disseminate weekly, monthly and quarterly E-commerce & marketing dashboards to the executive team  Monitor website shopping funnel performance and identify marketing & merchandising opportunities to improve E-commerce KPIs  Automate recurring reports to increase department and organizational efficiency Planning & Forecasting Participate as the marketing lead in the annual business forecasting process and on an ad hoc basis to understand the impact of new company initiatives  Maintain daily forecasts for key web metrics and measure performance against goals for Moda's business divisions, product categories, marketing channels and visitor device types Data Accuracy & Availability Partner with product, tech and marketing teams to ensure the right tracking is in place to measure success of initiatives, and to update tracking as new product features and marketing vendors are added  Develop new methods for understanding how cross-device and cross-channel interactions influence current reporting  Partner with QA team to automate the process for ensuring web analytics data is consistent and correct Organizational Leadership Works with Senior Analyst to define digital analytics road map and prioritizes projects based on current company needs & future growth  Advise marketing and tech teams on AB test design and implementation best practices  Stay abreast of digital analytics technology and tracking best practices Who You AreBachelor's degree in marketing, math, statistics, finance, or related analytical field3+ years of experience in a digital analytics or web analytics roleStrong SQL skills, R or Python a plusSelf-starter & able to manage projects from ideation through completionStrong Microsoft Excel skillsStrong data presentation and visualization skills.Experience with Google Analytics, Omniture/Adobe Analytics or other web analytics tools a plusExperience with statistical software (SAS, SPSS, or open source equivalent (R / Python)) a plusExperience with Looker or other dashboarding tool a plusExperience with large data sets a plusWorking knowledge of HTML/CSS/Javascript a plusBonus PointsCommunication and InfluencingDemonstrate ability to build and foster productive working relationships with cross-functional teamsCreative thinker with the confidence to share ideas with the teamImpact the ability to:Support cross-functional team improvement initiativesExecute appropriate processes and decisions across the organizationIndustry KnowledgeComprehensive understanding of the fashion and luxury goods industry, consumer products and personal technology industries, and trends affecting themResiliencyThrive in a fast-paced environment, welcoming challengesAdapts to change with ease and composureCuriosityPossesses a desire to uncover and exploreDigital AcumenExceptional understanding of digital landscape and how all channels work together to create 360 degree impactThe job description is to be used merely as a guide of expectations rather than an exhaustive list of all duties and competencies. All requirements and skills are subject to change as business needs evolve.",40.7127753,-74.0059728
6,3.2,"Senior Manager I, Data Analyst","Hoboken, NJ",129000,182000,26d,"Position DescriptionConsults with internal organizations on global strategic initiatives or multi-business initiatives in two or more functional business areasDevelops and directs one or more work streams of a cross-functional project to achieve desired resultsDevelops tools that that support decision making and business casesDrives the execution of multiple business plans and projectsEnsures business needs are being metIdentifies and influences stakeholdersPromotes and supports company policies, procedures, mission, values, and standards of ethics and integrityProvides supervision and development opportunities for associatesMinimum QualificationsBachelor of Science or Bachelor of Art and 3 years' data analytics experience OR 5 years' data analytics experience OR Master of Science or Master of Art and 1 years' data analytics experience.Additional Preferred Qualifications1 year's experience leading project teams to solve problems.1 year's experience leading teams or supervisory experience.2 years' experience using Walmart systems (for example, Clarity, REMEDY).3 years' Walmart experience leading project teams in engineering, information systems, distribution, logistics, replenishment, human resources, store operations, supply chain, transportation, strategy innovations, or customer service area.3 years' experience in retail.3 years' experience leading projects in engineering, strategy, or innovations field.3 years' experience managing multiple projects.Master's degree in Engineering, Mathematics, Computer Science, Supply Chain, or related field and 1 year experience in engineering, mathematics, computer science, supply chain, or related field.Company SummaryThe Walmart eCommerce team is rapidly innovating to evolve and define the future state of shopping. As the worlds largest retailer, we are on a mission to help people save money and live better. With the help of some of the brightest minds in technology, merchandising, marketing, supply chain, talent and more, we are reimagining the intersection of digital and physical shopping to help achieve that mission.Position SummaryPosition Description:  As part of the newly created Data Strategy and Enablement Team (DS&E), this role will be an enabler of our journey to be the worlds leading data-driven retailer. As part of this transformation, we are seeking an individual who will be responsible for leading engagement with business stakeholders to enable self service for data govenance  We are looking for a highly motivated, resourceful, team-oriented individual to lead the engagement process for Data Producers and Data Consumer functional domains. This role requires great organizational skills, attention to detail, the ability to meet tight deadlines, process transformation and hands-on experience with data value chain. The successful candidate will be able to complete complex tasks and projects quickly with little to no guidance, react with appropriate urgency to situations that require a quick turnaround and take effective action as required. Customer, process and data driven person  About the Data Strategy and Enablement Organization:  Our organization focuses on managing and delivering world-class data assets, including creating and maintaining data standards, driving policy compliance, creating partnerships, and developing pipelines and self-service tools. We empower our business to leverage data to fuel growth, driving revenue in our core and building new business model opportunities. We protect customer, associate, and partner data, ensuring privacy and security when collecting",40.7439905,-74.0323626
7,4.6,Data Quality Analyst,"Red Bank, NJ",41000,66000,8d,"PRIMARY PURPOSE:The Data Quality Analyst is responsible for the collection, cleaning and migration of data in an optimized way. This position would be working on multiple data projects, interacting with multiple cross functional teams.ESSENTIAL DUTIES AND RESPONSIBILITIES:1.Identifies and solves issues concerning data management to improve data quality.2.Works with Business Intelligence to implement data control for more effective data collection and storage, as well as performing strategies to optimize the efficiency and quality of the data being collected.3.Responsible for filtering and “cleaning” data by reviewing existing datasets to correct any data problems.4.Responsible for developing and implementing test plans and scripts for various data quality processes.5.Understands and documents Data Model.6.Identifies data fields, its usage, rules and define quality control around it.7.Evaluates datasets for accuracy and quality.8.Responsible for extracting data from various systems, clean and wrangle for the purpose of migrating to another system and/or for analytics and reporting.9.Performs source system data analysis in order to manage source to target data mapping.10.Provides ongoing reports on the effects of different strategies and observes any trends or issues to raise with senior management.11.Leverages SQL queries or adhoc method to perform above tasks.12.Performs reverse engineering of physical data models from databases and SQL scripts.JOB SPECIFICATIONS:Knowledge, Skills& Abilities•Aptitude to understand data, map it across multiple systems, identify and correct quality issues.•Ability to quickly become familiar with the Bank’s database framework, and the sources and uses of data.•SQL experience and working with relational databases as well as working familiarity with a variety of databases•Understand visualization tools (Power BI, ThoughtSpot, QlikView) used by the Bank for business intelligence analytics and reporting.•Aptitude to gain familiarity& knowledge of database architecture, coding, and logic.•Highly motivated and organized, with keen attention to detail and problem-solving abilities.•Excellent MS Office Suite skills (particularly MS Excel).•Ability to learn new languages and technologies.•Excellent communication and problem-solving skills; strong inter-personal skills requiredExperience& Education•Bachelor’s degree in Computer Science or related field.•3-5 years’ experience as Data Quality Analyst or related field required.•Experience in TotalPlus or similar Banking system preferred.Internal and External Contacts•Will interact with a range of bank employees in a variety of seniority levels.Working Conditions/Physical RequirementsOffice environment. Ability to operate computer. Ability to communicate in order to exchange simple to complex information with individuals and groups. Ability to travel throughout Bank footprint.Equal Opportunity Employer Minorities/Females/Veterans/Individuals with Disabilities/Sexual Orientation/Gender Identity For Recruiting Agencies OceanFirst Bank does not accept agency resumes submitted by third-party vendors unless a valid agreement has been signed and the OceanFirst Bank Talent Acquisition Team has granted authorization for submissions regarding a specified position. Please do not forward resumes to us, OceanFirst Bank employees or any other company location. OceanFirst Bank is not responsible for any fees related to unsolicited resumes.",40.3470543,-74.0643065
8,3.2,Data Analyst,"Hackensack, NJ",51000,81000,13d,"BE Innovative. BE RealPage.RealPage Outperforms! We are a leading global provider of software and data analytics to the real estate industry. Clients use our platform to improve operating performance and increase capital returns.  We are a run fast, have fun and reap rewards type of environment. RealPage offers an engaging work culture that fosters personal and career growth for our employees. We continually reinvent and evolve to meet the needs of the customers we serve through technology and vision. You can feel it in the work we do and the clients that benefit. Our unique company philosophy fosters innovation, excellence and collaboration.OverviewClickPay is a fast growing technology company. ClickPay is a market leader in Real Estate Billing and Payments. ClickPay serves the payment and billing needs of the largest multi-family, condo/coop, commercial, parking, storage owners and managers across the country from Hawaii to Maine. ClickPay’s technology integrates with leading real estate accounting software and property management programsResponsibilitiesAbility to handle multiple projects and meet client SLAs as well as daily/weekly/monthly deadlines.Ability to work independently to manage ongoing projects.Responsible for the efficient, compliant, timely and secure entry of data and data files.Work with external vendors, clients and internal business and technology staff to accurately gather data sources.Work with a ticketing system to manage open items and enter data and data files accurately.Document data file entry processes, programs and solutions as per established standards.Monitor and administer automated and manual data integration.Assess and document the structure, quality, and compliance of source data and coordinate with business and technology staff to identify and resolve issues.Assist other employees in the data and data file entry and review.QualificationsDegree with computer science background a plus.Knowledge of basic T SQL queries and or general database skills.Experience in working with technical and business teams to extract and document data integration/exchange requirements",40.8859325,-74.0434736
9,4.2,Data Operations Analyst,"New York, NY",53000,78000,14d,"The Data Solutions team is responsible for integrating clients' portfolios into Addepar, consulting clients on their trickiest portfolio data challenges, and ensuring data quality and timeliness. To fill this role we are looking for individuals who have exceptional analytical skills, portfolio accounting or securities knowledge, excellent verbal and written skills, and experience with process improvement or project management.  Responsibilities Perform internal verification checks to ensure portfolio account data integrity and availability within SLAs.Investigate and troubleshoot data pipeline and complex custodial feed issues, and triage with Engineering Support when needed.Effectively maintain daily operational workflows and identify and execute opportunities for optimization.Partner with Product, Engineering, and other internal stakeholders to design, test, and implement new processes and tooling features that improve data quality as well as increase operational efficiency.Participate in broad company initiatives to stand up new product functionality or services. Requirements 2+ years of work experience in the financial investment/advisory industry with deep knowledge of capital markets, trade processing and lifecycle, and middle/back-office operations systems.Strong attention to details and a passion for problem solving.Ability to multi-task and prioritize effectively in a fast paced environment.Forward looking and team oriented.Skills preferred in any or all of the following: Excel,Salesforce, Bloomberg, Thompson Reuters, SQL, Python, and other common financial services systems and services. Addepar is a leading provider of technology for the wealth management industry. The company's performance reporting and analytics platform aggregates portfolio, market, and client data all in one place. It provides asset owners and advisors a clearer financial picture at every level, allowing them to make more informed and timely investment decisions. Addepar works with leading financial advisors, family offices, and large financial institutions that manage over $1.3 trillion of assets on the company's platform. In 2018, Addepar was named as a Forbes Fintech 50 and received Morgan Stanley's Fintech Award for making significant impact to the firm's mission of continuous innovation. Addepar is headquartered in Silicon Valley and has offices in New York City, Chicago, and Salt Lake City.At Addepar, we rely on a range of backgrounds, experiences, and ideas. We value diversity, and we're proud to be an inclusive, equal opportunity workplace.",40.7127753,-74.0059728
