company,com_rating,job1,location,Salary_min($),Salary_max($),datepost,desc
Callisto Media,4.7,Lead Data Analyst,"New York, NY",49,$88 ,4,"We combine the power of Big Data, technology, and lean economics. We discover the information people are searching for and provide it. We help transform lives.Callisto Media will be unmatched in providing products, services, and experiences to a diverse universe. From mainstream populations to groups that traditional companies believe are too small or economically unfeasible to address, we will meet their needs.Today, we're the fastest growing company in the $140 billion global publishing industry, and our primary method for meeting peoples' needs is through books. But creating books for them is only the beginning.This person will manage a team of data analysts using our proprietary, data-driven processes to produce titles. They will need to understand our internal tools and processes and supervise analysts using these processes to work with editors, designers, and marketers. They will also supervise analysts working on data analysis projects. They will work with R&D leadership and with other departments to coordinate production work and research projects.Required Skills and Abilities: Understand tools and processes designed by the R&D team and supervise analysts using these tools. Coordinate tasks involving multiple departments with tight production schedules.Design and supervise execution of research related to title production and marketing.Use our internal tools and data collection systems to perform analyses and recommend improvements to our processes that are supported by data. Generate reports to convey research findings to other departments.Conduct ad-hoc analyses for other departments to help answer questions related to production, marketing, and sales decisions. Required Experience: Bachelor’s degree or higher in a relevant discipline.2-3 years experience managing a team.Experience with statistics and research methodology.Ability to manage multiple projects simultaneously with minimal supervision.Experience in Evolutionary and/or Agile development preferred.Proven experience solving complex business issues through data-related tools.Strong communication skills, particularly with internal clients and managers.Ability to take initiative and work with a high level of independenceJoin us! We are a team where data drives our decisions. Where culture matters. We put our customers first and they embody our core values. We’re entrepreneurial and focused in our approach. We challenge each employee to experiment and drive results while feeling empowered to do their best work each and every day. Callisto Media offers a competitive salary, full benefits, 401k, stock options, for full-time employees, as well as a friendly working environment. This is a full-time, onsite position.Apply"
New York Life,3.5,Data Analyst,"New York, NY",56,$100 ,5,"Data Analyst

Apply Now

Start apply with LinkedIn

Start

Please wait...

Date: Nov 8, 2019

Location: New York, NY, US

Company: New York Life Insurance Co

A career at New York Life offers many opportunities. To be part of a growing and successful business. To reach your full potential, whatever your specialty. Above all, to make a difference in the world by helping people achieve financial security. It's a career journey you can be proud of, and you'll find plenty of support along the way. Our development programs range from skill-building to management training, and we value our diverse and inclusive workplace where all voices can be heard. Recognized as one of Fortune's World's Most Admired Companies, New York Life is committed to improving local communities through a culture of employee giving and service, supported by our Foundation. It all adds up to a rewarding career at a company where doing right by our customers is part of who we are, as a mutual company without outside shareholders. We invite you to bring your talents to New York Life, so we can continue to help families and businesses Be Good At Life. To learn more, please visit LinkedIn, our Newsroom and the Careers page of *******************.

Responsibilities include:

Provide support to the Experience Studies team with all data analysis related needs

Interface with ESDA technology team to enable continued development and effective maintenance of the ESDA

Identify and Interpret business needs and pain points to implement new data solutions

Execute on various requests from FSO clients by sourcing raw data from multiple databases, tables and systems

Oversee data quality and ensure data is properly translated for consumption by end business users

Serve as a project lead representing Experience Studies team on all data related projects: assure project deadlines are met and manage work flows

Participate in completion of experience studies and ad hoc projects

Design solutions for adopting ESDA system for broader financial analysis across the company based on a single source of information

Requirements:

Strong SQL background (TOAD, SQL Workbench)

Expert programmer (SAS, Java, R, etc.)

Experience with data visualization / business intelligence tools (Spotfire, Qlik, Tableau, etc.)

Analytical and critical thinking skills required

Ability to explain technical solutions to technical and non-technical teams

Expert-level Microsoft Office skills (Excel, Word, Access)

A proactive self-starter with the ability to work independently with limited supervision

Must be very organized and have excellent follow-up and problem solving skills

Must be team oriented in interacting with a diverse group

Experience with Hadoop and data lakes would be a plus

Knowledge of all transactional aspects of the life cycle of an insurance policy would be a plus

#LI - MM1

EOE M/F/D/V

If you have difficulty using or interacting with any portions of this Web site due to incompatibility with an Assistive Technology, if you need the information in an alternative format, or if you have suggestions on how we can make this site more accessible, please contact us at: **************.

Job Segment: Database, Data Analyst, Social Media, Programmer, Developer, Technology, Data, Marketing

Apply Now

Start apply with LinkedIn

Start

Please wait..."
Taboola,3.9,"Data Analyst, Business Intelligence","New York, NY",52,$97 ,2,"Read something interesting online today? There's a good chance it reached you because of our technology.

Taboola is the world's leading content discovery platform, serving 360B recommendations to over 1B unique visitors each month on the web's most innovative publisher sites, including NBC, USA Today, The Weather Channel, Tribune and Fox Sports.Taboola is hiring a Data Analyst on our Business Intelligence team to further grow out our global Sales Operations department. Reporting to the Business Intelligence Manager, you will work with our Sales and Account Management teams to analyze clients' campaign performance and find data-driven solutions to ensure they are hitting/exceeding their goals.
About you:


Minimum 2 years of experience in an Analyst role, working with large datasets and Excel (writing advanced macros and performing complex functions)
Experience working with SQL, and the desire to master it
Experience working with BI tools (QlikView, Tableau, etc.) 

BA/BS required. Major in finance, statistics, quantitative economics or another degree emphasizing data analysis preferred
Experience translating advanced data insights to all kinds of teams
Tech or Adtech Industry experience
Experience using and building reports with multiple BI tools

In this job you will:


Analyze big data and create useful conclusions and applicable recommendations for our sales and management teams
Create data models, reports and dashboards and develop creative solutions to growing data requirements
Analyze and explain changes in performance measurements
Captain multiple BI projects both on an ongoing and an ad-hoc basis
Become the focal point for all data matters in the organization and works closely with the R&D and technical teams

Taboola is an equal opportunity employer and we value diversity in all forms. We are committed to creating an inclusive environment for all employees and believe such an environment is critical for success. Employment is decided on the basis of qualifications, merit, and business need.

#LI-EL1"
Test Force,4.1,Data Analyst,"New York, NY",58,$99 ,6,"Job Description12 months Contract (possibly longer)

Travel to China 50%

Other 50% work remotely (telecommute) 

URGENT need for an experienced Data Analyst for a long term international project analyzing large volumes of financial institution records, identifying data location within various application and reporting the findings. 

Good Communications is a must as this is a client facing role

Knowledge of Mandarin NOT required 

Required skills: Data Analysis, SQL

Minimum 3 years in Data Analysis"
CommonBond,4.0,Data Analyst,"New York, NY",53,$100 ,5,"CommonBond is building a values-driven, customer-centric financial services company. Our mission is to change the way people think about student loans. We accomplish this with lower interest rates, a state-of-the art technology platform, and caring customer service. We also are the only financial services company with a 1-for-1 social program: For every loan funded, we fund the education of a child in the developing world. CommonBond has been named to the World's 50 Most Innovative Companies by Fast Company, the 50 Best Places to Work by Inc., and the Forbes Fintech 50. We are backed by great investors, have an awesome team, and are looking for our next great team member.

We are looking for a Data Analyst to implement automation solutions and reporting for various asset classes. In this role, you will support our Finance, Accounting, Risk functions (among others) by providing regular reporting that both gives visibility into key metrics to CommonBond and its partners, as well as data-driven insights that can drive positive business outcomes. This role consists of a mix of regular daily, weekly, monthly reporting as well as automation of the reports to increase productivity.

The ideal candidate will be adept at building and automating reports by sifting through data. The Data Analyst's day to day work will consist of mining CommonBond data models for reports, automating standard reports for internal stakeholders, investors and regulators.

As Data Analyst, you will:


Translate the underlying needs of our business into scalable code to effectuate automation.
Maintain a library of reports and work closely with the tech team and business functions to drive work-flow integration.
Create and run daily/weekly/monthly/quarterly reports on borrower application data for credit metrics such as forbearance, delinquencies, and defaults. 

To be considered, you must have:


Bachelor's degree. 0-1 year of formal professional data-related technical experience (we also welcome fresh graduates!)
Must have aptitude for using programming language, such as Python, SQL, and VBA
Strong verbal and written communication and comfort in communicating across an organization
Analytical mindset, proactive approach to work, and unafraid to ask questions
Possess a dogged determination to wrestle with and solve problems
Be curious, open to learn and adapt quickly to changing needs of the organization 

Team player – you will work with Finance, Accounting, and Risk to make informed, data-driven decisions
Extremely detail oriented and organized - supreme ability to organize yourself and your tasks, and to manage your time"
Columbia University,4.1,Data Analyst,"New York, NY",47,$81 ,3,"Position Summary

We have an immediate opening for a data analyst position in the Epidemiology and Biostatistics group in the Department of Obstetrics and Gynecology at Columbia University Medical Center. The successful candidate will be involved in the research projects funded by the NIH.

Responsibilities

Possible research projects include, but are not limited to, dietary and environmental factors in relation to the risk of chronic diseases including cardiovascular disease, cancer and cognitive decline/impairment. This person is expected to help analyze data, summarize and present the results, and write scientific journal articles. The duties may also include other tasks assigned by the supervisor.

Minimum Qualifications

+ Requires a bachelor's degree or equivalent in education and experience, plus three years of related experience.

+ The successful candidate should demonstrate ability in computer programming, and ability of independent thinking and possession of excellent communication and writing skills.

+ Must be able to work effectively with minimal supervision

Preferred Qualifications

+ Master's Degree Preferred.

+ Experience working in nutrition, epidemiology, biostatistics, anthropology or closely related field, with interest in nutritional epidemiology.

Equal Opportunity Employer / Disability / Veteran

Columbia University is committed to the hiring of qualified local residents."
MSG,4.1,Data Analyst,"New York, NY",70,$126 ,5,"The Madison Square Garden Company (MSG) is a world leader in live sports and entertainment experiences. The company presents or hosts a broad array of premier events in its diverse collection of iconic venues: New York’s Madison Square Garden, Hulu Theater at Madison Square Garden, Radio City Music Hall and Beacon Theatre; the Forum in Inglewood, CA; and The Chicago Theatre. Other MSG properties include legendary sports franchises: the New York Knicks (NBA) and the New York Rangers (NHL); two development league teams – the Westchester Knicks (NBAGL) and the Hartford Wolf Pack (AHL); and esports teams through Counter Logic Gaming, a leading North American esports organization, and Knicks Gaming, MSG’s NBA 2K League franchise. In addition, the Company features the popular original production – the Christmas Spectacular Starring the Radio City Rockettes – and through Boston Calling Events, produces New England’s preeminent Boston Calling Music Festival. Also under the MSG umbrella is TAO Group, a world-class hospitality group with globally-recognized entertainment dining and nightlife brands: Tao, Marquee, Lavo, Avenue, Beauty & Essex and Vandal. More information is available at www.themadisonsquaregardencompany.comThe Data Analyst will be responsible for the critical management of time tracking and project reporting data across multiple departments (internal communications, employee programs, company events, business solutions, account management, garden of dreams, marketing) and reporting to provide the department and the business with data and metrics pertaining to the function through the development of dashboards, reports and targeted distribution lists. This position will be responsible for developing the framework for analyzing and sharing data, integrating a variety of data sources and creating the right cadence of information to inform business leaders throughout the organization. This role's primary focus will be to provide reports and data in the areas of time tracking, event data, user analytics, employee recognition criteria and employee distribution lists targeted to various employment factors. Identifies and recommends technology requirements necessary to move work forward.Develops the framework for reporting on the data, possesses a thorough understanding of the data and provides recommendations for normalization of the data. Merges data from multiple systems.Provide strategic data insights to the People Connections, Marketing Partnerships, Garden of Dreams and additional teams to provide reports and analysis. Develops and maintains dashboards to provide event and information flow analytics to business leaders which drills down data on budget and impact metrics for the company and their respective business units. Provides recommendations to leaders as to the frequency of reporting and communication to the business.Leads collaboration with other areas of the business, aligning strategic plans and decisions, shares knowledge and leverages cross functional resources and requirements for best possible Develops and communicates findings via formal presentations and standard reporting on periodic/quarterly/annual basis.Accountable for daily oversight of multiple data capture tools in CRM, Oracle, Sharepoint, Google Analytics and Adobe Analytic Fields ad hoc data requestsMonitors and improves data collection processes; determines how to normalize data across multiple systems; provides recommendations for enriched reporting and data standards.Bachelor’s degree in Business, Computer Science, Statistics, or related discipline4+ years of progressive experience in data analysis and 2+ years of experience with HRMS (Oracle preferred) and visualization skills and tools, including Tableau.Basic understanding of Workforce, Workfront, CRM, Salesforce and SharePoint desired. PowerPoint, and advanced Excel experience.Strong analytical and numerical Ability to translate complex data analysis and research principles into terms that can be understood by a broader Skilled at manipulating and managing large, complex databases, spreadsheets and queries and generating clean metrics to assist with businessPreferred Qualifications:Advanced Microsoft Access and Excel skills, including proficiency with complex pivot tables and data analysis functionsDemonstrated expertise with report writing softwareExceptional attention to detailAnalytical acumen, intellectual curiosity, creativity, a proven work ethic, and good communication skillsAbility to manage multiple projects with demanding time frames Candidates who have completed 60 credits of college-level coursework (representing 2 years), or have shown similar self-development through certifications, trade school coursework, etc. are preferred.Educational requirements may differ from job to job based on the role.At MSG we value diversity and are looking for extraordinary employees of all backgrounds! MSG is an Equal Opportunity Employer and provides equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, gender identity or expression, sexual and reproductive health choices, national origin, citizenship, age, genetic information, disability, or veteran status. In addition to federal law requirements, MSG complies with all applicable state and local laws governing nondiscrimination in all locations."
Cynet Systems,4.2,Data Analyst,"New York, NY",61,$111 ,3,"Job Title: Data Analyst  Job Location: New York City, NY  Job Type: Full Time / Perm / Direct Hire   W2 candidates are encouraged to apply. We are unable to sponsor H1b or work with third-party candidates at this time   
Job Description:  
Principal Duties and Responsibilities:


 Review and analyze relevant documentation to ensure the understanding of an organization's function and capabilities. Develop understanding document for the existing process/ use cases. Utilize appropriate business modeling techniques to represent and graphically depict various activities, processes, and data. These could include Business process modeling. Works with the project team to understand the Data structure of the existing application(s) and to document the understanding.

Expected Areas of Competence (i.e., knowledge, skills and abilities):


 Experience in Corporate Liquidity / Cash Management Systems. Understand and document detailed business requirements and translate business needs into technical systems and process improvement solutions. A good understanding of database systems should be able to write/interpret basic/medium complex queries.
 - provided by Dice"
Advantage xPO,3.6,Tableau Data Analyst,"New York, NY",46,$89 ,4,"Advantage #556878

12 Months

JOB DESCRIPTION

The successful candidate will be responsible for FI Analytics, which will include data sourcing, data transformation, predictive modelling and creating Tableau dashboards.

KEY RESPONSIBILITIES

· Create strong blending data capabilities within team so that we can come up with useful client information from data very quickly

· Engage with business stakeholders cross countries and gather requirement and liaise with ETL team to get the required data preparation.

· Promote analytics driven decision making processes across multiple segments/product portfolios

· Engage and execute the dashboards on Tableau or similar visualization tools

· Explore statistical and automation tools like R, SAS, Python for predictive and prescriptive analytics

· Engage relevant technology teams to embed advanced statistical tools

· Prepare and/or contribute to regular updates for various committees and governance forums

· Provide insights to senior management and the network based on MIS and analytics

· Highlight any perceived risks and early alerts to the management based on data analytics

· Perform data validation and dashboard performance optimization

REQUIRED KNOWLEDGE, EXPERIENCE AND COMPETENCIES

· A proven track record with 4 years or more of relevant analytics work experience and demonstrated career progression/increase in responsibilities

· Strong academic record: Degree in Finance, Statistics, Computer Science or related field

· Strong Knowledge of Tableau

· Knowledge of either SAS, R or Python

· Strong understanding of Hadoop Database

· Proficient in excel and SQL

· Knowledge of statistical modelling and machine learning will be an added plus

· Understanding of the ETL process

· Highly effective verbal and written English communication skills

· Good presentation, time management, negotiation and influencing skills

· Ability to influence without authority

· Strong analytical and problem solving skills

· Experience in project management from business requirement definition, solution validation, user testing, technical documentation and production roll out

· Ability to manage multiple work streams with strong problem solving and analytical skills

· Strong communication and presentation skills to varying levels of management"
Knotel,4.1,Data Analyst,"New York, NY",46,$85 ,2,"Knotel is seeking an experienced Data Analyst to power insights across the entire company. Data is at the core of what we do. It is how we get insights into the effectiveness of our physical and digital products. In this role, the Data Analyst will closely collaborate with our data engineering team and departmental stakeholders to develop robust analytical solutions. Initially, he/she will be responsible for the BI component of Knotel's modular data architecture (Stitch, Snowflake, DBT, Mode/Looker).

What You'll Do


Cross-functional collaboration from start to finish; from gathering stakeholder BI requirements to validation deliverables meet user needs
Review/validate data modeling layer meets stakeholder BI requirements
Review/validate ETL pipeline design provides necessary data
Develop new data models (DBT/LookML) where necessary under guidance of data engineering team
Develop customized reports, visualization, and analysis
Provide day-to-day administration of BI tools (privacy, group management, etc.) 

Validate canonical metrics/definitions are documented in metadata management system
Serve as an expert/resource that educates users how best to leverage Knotel data

Who You Are

You're passionate about data. You are naturally curious about everything (Marketing, Growth, Operations, Product, etc) and apply quantitative information to solve business challenges. You know how to design, build, and manage BI systems. Listening and collaboration are core competencies, and you excel delivering solutions regardless of stakeholder analytical proficiency. In addition to maintaining a robust/resilient BI system, you ship new insights on time. You also have the following:


2+ years working with a data warehouse/BI-tool (Snowflake experience is a plus)
1+ years experience with Looker (LookML, Explores, Dashboards, and administration) and/or similar self-service BI tools (e.g. Tableau)
Experience in a startup data environment; exposure to common tools is a plus (Google Analytics, Salesforce, Marketo, Zendesk, Mixpanel, etc.) 

Experience synthesizing information and communicating takeaways to diverse audience
Knowledge of traditional relational databases (Postgres)
Strong foundation in SQL with exposure to Jinja/Liquid a plus
Knowledge of data modeling concepts and familiarity or willingness to learn DBT
Enthusiasm for operating in a version-controlled (GitHub or similar) analytic code environment
Practice data visualization and dashboard design best practices
Familiarity with R and/or Python is positive but not a requirement 

About Knotel

Knotel is the world's leading flexible workspace provider that gets, fits, fills and manages space for customers. Knotel caters to established and growing companies, giving them the freedom to focus on their business, culture, and people. With over 4 million square feet across 200 locations in three continents, Knotel is transforming commercial real estate and moving companies forward.

Knotel was founded in 2016 by Amol Sarva and Edward Shenderovich to give businesses the flexibility and speed to scale on their own terms. All Knotel spaces are tailored to the needs of each individual company by an in-house team of architects, interior designers, and workplace strategists. For more information, please visit www.knotel.com.

Our Core Values


Fly your Flag - Don't check your identity at the door. Bring it inside - we are better for it.
Don't Look Away - Care for the details no one told you about. Make every space a home and give the gift of belonging.
Outcomes, Not Processes - Time is precious. Save it. Start with the goal and back out the journey
Get Uncomfortable - Innovation starts at the edge of the unknown. Embrace the adventure and sign up for the hairy challenges.
""Where is it Engraved…"" - Question orthodoxy.
Share in the Victory Dance - No one summits alone. Leverage the best in others and offer the most in yourself.

Diversity & Inclusion at Knotel

At Knotel, we know that a diverse workforce fosters our individual and collective success. We are committed to building an inclusive, collaborative culture where people of all races, genders, sexual orientations, and religious backgrounds can do their best work. This is all fueled by our employees, who drive the efforts and initiatives outlined here."
