;Python;SQL;Machine Learning;R;Hadoop;Spark;Java;Tableau;Hive;SAS;Big Data;AWS;Scala;NoSQL;C/C++;Oracle;Data Warehouse;Linux;AI;Microsoft SQL Server;TensorFlow;Kafka;Azure;MATLAB;Microsoft Office;Scripting;Git;Excel;JavaScript;HBase;PostgreSQL;MySQL;Perl;Natural Language Processing
Python;420;362;14;380;22;22;74;210;12;80;12;38;16;8;4;32;10;16;32;12;4;2;10;8;38;6;10;264;26;2;6;18;12;0
SQL;362;800;12;740;22;22;76;362;14;162;16;42;12;10;4;84;28;16;68;14;2;2;14;10;84;4;10;562;26;2;8;24;10;0
Machine Learning;14;12;22;22;2;8;2;8;0;8;4;4;6;0;0;0;2;0;10;0;2;0;2;6;0;0;0;12;2;0;0;2;0;2
R;380;740;22;1632;24;30;92;448;14;184;22;50;14;10;2;104;26;20;114;14;4;2;24;14;162;8;18;1098;34;2;8;22;46;2
Hadoop;22;22;2;24;28;6;6;22;10;10;6;2;2;2;0;0;2;4;0;0;0;2;2;0;2;0;0;12;2;0;0;0;0;0
Spark;22;22;8;30;6;32;6;10;4;10;8;14;8;4;0;2;4;6;0;0;2;2;4;4;4;0;0;10;2;0;0;4;0;0
Java;74;76;2;92;6;6;100;58;0;20;10;8;6;2;2;24;6;8;6;0;0;0;8;0;4;0;6;60;36;2;2;8;10;0
Tableau;210;362;8;448;22;10;58;476;8;82;10;30;4;6;0;50;16;16;34;10;0;2;8;2;52;4;2;358;22;2;6;20;8;2
Hive;12;14;0;14;10;4;0;8;14;4;2;2;0;2;0;0;2;2;0;0;0;2;0;0;0;0;0;6;0;0;0;0;0;0
SAS;80;162;8;184;10;10;20;82;4;190;2;10;8;2;0;16;2;2;18;2;2;0;0;12;26;6;0;134;6;0;2;6;2;0
Big Data;12;16;4;22;6;8;10;10;2;2;26;4;4;2;0;6;4;6;4;0;0;0;8;2;0;0;0;8;4;0;0;2;0;0
AWS;38;42;4;50;2;14;8;30;2;10;4;50;2;2;0;2;2;4;6;0;0;0;6;0;0;0;0;20;0;2;2;4;2;2
Scala;16;12;6;14;2;8;6;4;0;8;4;2;16;2;0;2;0;0;0;0;0;0;4;4;0;0;0;2;2;0;0;2;2;0
NoSQL;8;10;0;10;2;4;2;6;2;2;2;2;2;10;0;2;0;0;0;0;0;2;2;2;0;0;0;4;0;0;0;2;0;0
C/C++;4;4;0;2;0;0;2;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
Oracle;32;84;0;104;0;2;24;50;0;16;6;2;2;2;0;110;2;2;12;8;0;0;6;2;10;2;2;90;10;0;4;20;4;0
Data Warehouse;10;28;2;26;2;4;6;16;2;2;4;2;0;0;0;2;28;4;2;2;0;0;0;0;0;2;0;18;2;0;0;0;0;0
Linux;16;16;0;20;4;6;8;16;2;2;6;4;0;0;0;2;4;22;0;0;0;0;0;0;2;0;0;12;2;0;0;0;2;0
AI;32;68;10;114;0;0;6;34;0;18;4;6;0;0;2;12;2;0;122;0;2;0;0;2;10;0;0;72;4;0;2;2;0;2
Microsoft SQL Server;12;14;0;14;0;0;0;10;0;2;0;0;0;0;0;8;2;0;0;14;0;0;0;0;4;2;0;12;0;0;0;4;0;0
TensorFlow;4;2;2;4;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0
Kafka;2;2;0;2;2;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0
Azure;10;14;2;24;2;4;8;8;0;0;8;6;4;2;0;6;0;0;0;0;0;0;24;0;0;0;0;12;2;2;0;2;2;0
MATLAB;8;10;6;14;0;4;0;2;0;12;2;0;4;2;0;2;0;0;2;0;0;0;0;14;2;0;0;4;0;0;0;0;0;0
Microsoft Office;38;84;0;162;2;4;4;52;0;26;0;0;0;0;0;10;0;2;10;4;0;0;0;2;174;0;0;168;0;0;0;2;0;0
Scripting;6;4;0;8;0;0;0;4;0;6;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;8;0;0;0;0;0;0;0;0
Git;10;10;0;18;0;0;6;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;18;10;4;0;0;0;2;0
Excel;264;562;12;1098;12;10;60;358;6;134;8;20;2;4;4;90;18;12;72;12;0;2;12;4;168;0;10;1158;16;0;4;16;32;2
JavaScript;26;26;2;34;2;2;36;22;0;6;4;0;2;0;0;10;2;2;4;0;0;0;2;0;0;0;4;16;36;0;0;4;0;0
HBase;2;2;0;2;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0
PostgreSQL;6;8;0;8;0;0;2;6;0;2;0;2;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;4;0;0;8;6;0;0
MySQL;18;24;2;22;0;4;8;20;0;6;2;4;2;2;0;20;0;0;2;4;2;0;2;0;2;0;0;16;4;0;6;24;0;0
Perl;12;10;0;46;0;0;10;8;0;2;0;2;2;0;0;4;0;2;0;0;0;0;2;0;0;0;2;32;0;0;0;0;46;0
Natural Language Processing;0;0;2;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2
