rating,job_title,company,location,salary,lat,lng,AI,AWS,Azure,Big-Data,C/C++,Data-Analysis,Data-Mining,Data-Warehouse,Hadoop,Hive,Java,Kafka,Linux,MATLAB,Machine-Learning,Microsoft-Office,Microsoft-SQL-Server,Natural-Language-Processing,NoSQL,Oracle,Pig,Python,R,SAS,SQL,Scala,Scripting,Spark,Tableau,TensorFlow
,OPERATIONS ANALYST,Compass Bank dba BBVA Compass,"Birmingham, AL",,"33.5123288,",-86.8036185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Jr Business Intelligence Analyst,Compass Bank dba BBVA Compass,"Birmingham, AL",,"33.5123288,",-86.8036185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Data Analyst,HyreU,Alabama,,"40.6496878,",-74.39922840000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Junior Data Analyst,Southern Poverty Law Center,0,,"32.376105,",-86.3032785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
,Data Analyst,KBRWyle,0,,"32.9026232,",-80.0210655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,OPERATIONS ANALYST,BBVA Compass,0,,"31.58127009999999,",-97.1717752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Data Analyst,City of Tuscaloosa,0,63473.0,"33.2098407,",-87.5691735,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
,Data Analyst,"Torch Technologies, Inc.","Huntsville, AL 35802",,"34.6774505,",-86.5779171,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Business Data Analyst,US Department of the Army,0,88390.0,"34.6645843,",-98.4156381,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Junior Data Analyst,Logistics Management Institute,0,,"37.0918096,",-76.4670789,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
,Data Analytics Specialist,ITAC Solutions,"Birmingham, AL 35242",65000.0,"33.4458713,",-86.7926596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,Business Analyst,Randall-Reilly,"Tuscaloosa, AL",,"33.2458908,",-87.51225649999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
,Marketing Data Analyst,ITAC Solutions,"Birmingham, AL 35205",,"33.4458713,",-86.7926596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0
,HRIS Analyst,Command Alkon,"Birmingham, AL",,"33.405194,",-86.762813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
,Data Analyst,J&M TANKLINES,0,,"33.1619585,",-86.3052941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Clinical Quality Data Analyst,Cahaba Medical Care Foundation,"Centreville, AL 35042",,"32.9503365,",-87.14730759999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Data Analyst Associate,Continental Aerospace Technologies,"Mobile, AL",,"30.6449706,",-88.07202990000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
,DATA ANALYST,University of Alabama at Birmingham,0,,"33.5019893,",-86.8064433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,Business Analyst,Compass Bank dba BBVA Compass,"Birmingham, AL",,"33.5123288,",-86.8036185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Data Analyst Associate,"Continental Motors, Inc.","Mobile, AL",,"45.572972,",-122.6609721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
,Data Governance Analyst,Regions Bank,0,,"36.3036778,",-94.1860834,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Health Data Analyst,VIVA Health,0,,"33.5179596,",-86.8078452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
,Systems Support Analyst 3 - Data Center,Wells Fargo,0,,"37.2262796,",-95.70634670000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Business Analyst,Convene Technologies,Alabama,,"28.052863,",-82.373616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Business Analyst,American Express Global Business Travel,United States,,"33.6205078,",-111.93061680000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
