,Source,Target,rel
0,R,.Net,0.004310344827586207
1,R,Machine Learning,0.004310344827586207
2,R,MATLAB,0.004310344827586207
3,Java,Shell Scripting,0.004310344827586207
4,Java,.Net,0.004310344827586207
5,Java,Scripting,0.004310344827586207
6,Java,Machine Learning,0.008620689655172414
7,Java,MATLAB,0.004310344827586207
8,Java,JavaScript,0.017241379310344827
9,Python,.Net,0.004310344827586207
10,Python,MATLAB,0.004310344827586207
11,SPSS,Machine Learning,0.004310344827586207
12,SAS,Hive,0.004310344827586207
13,SAS,SQL,0.004310344827586207
14,SAS,Software Development,0.004310344827586207
15,SAS,Shell Scripting,0.004310344827586207
16,SAS,.Net,0.004310344827586207
17,SAS,Oracle,0.004310344827586207
18,SAS,Spark,0.004310344827586207
19,SAS,Scripting,0.004310344827586207
20,SAS,Machine Learning,0.004310344827586207
21,SAS,Microsoft SQL Server,0.004310344827586207
22,SAS,Git,0.004310344827586207
23,SAS,MATLAB,0.004310344827586207
24,Hive,SAS,0.004310344827586207
25,Hive,Shell Scripting,0.004310344827586207
26,Hive,.Net,0.004310344827586207
27,Hive,Scripting,0.004310344827586207
28,Hive,Machine Learning,0.004310344827586207
29,Hive,Git,0.004310344827586207
30,Hive,MATLAB,0.004310344827586207
31,SQL,SAS,0.004310344827586207
32,SQL,Software Development,0.004310344827586207
33,SQL,Shell Scripting,0.004310344827586207
34,SQL,.Net,0.008620689655172414
35,SQL,Oracle,0.004310344827586207
36,SQL,Spark,0.004310344827586207
37,SQL,Scripting,0.004310344827586207
38,SQL,MySQL,0.004310344827586207
39,SQL,Machine Learning,0.01293103448275862
40,SQL,Microsoft SQL Server,0.03879310344827586
41,SQL,Git,0.004310344827586207
42,SQL,MATLAB,0.008620689655172414
43,Hadoop,.Net,0.004310344827586207
44,Hadoop,Machine Learning,0.004310344827586207
45,Hadoop,MATLAB,0.004310344827586207
46,Data Analysis,.Net,0.004310344827586207
47,Data Analysis,Machine Learning,0.004310344827586207
48,Data Analysis,MATLAB,0.004310344827586207
49,Software Development,SAS,0.004310344827586207
50,Software Development,SQL,0.004310344827586207
51,Software Development,Shell Scripting,0.004310344827586207
52,Software Development,.Net,0.004310344827586207
53,Software Development,Oracle,0.004310344827586207
54,Software Development,Spark,0.004310344827586207
55,Software Development,Scripting,0.004310344827586207
56,Software Development,Machine Learning,0.004310344827586207
57,Software Development,Microsoft SQL Server,0.004310344827586207
58,Software Development,Git,0.004310344827586207
59,Software Development,MATLAB,0.004310344827586207
60,Data Warehouse,Machine Learning,0.004310344827586207
61,Shell Scripting,Java,0.004310344827586207
62,Shell Scripting,SAS,0.004310344827586207
63,Shell Scripting,Hive,0.004310344827586207
64,Shell Scripting,SQL,0.004310344827586207
65,Shell Scripting,Software Development,0.004310344827586207
66,Shell Scripting,.Net,0.004310344827586207
67,Shell Scripting,Oracle,0.004310344827586207
68,Shell Scripting,Spark,0.004310344827586207
69,Shell Scripting,Scripting,0.04741379310344827
70,Shell Scripting,Machine Learning,0.004310344827586207
71,Shell Scripting,Microsoft SQL Server,0.004310344827586207
72,Shell Scripting,Git,0.004310344827586207
73,Shell Scripting,MATLAB,0.004310344827586207
74,Shell Scripting,JavaScript,0.004310344827586207
75,Business Intelligence,Machine Learning,0.004310344827586207
76,.Net,R,0.004310344827586207
77,.Net,Java,0.004310344827586207
78,.Net,Python,0.004310344827586207
79,.Net,SAS,0.004310344827586207
80,.Net,Hive,0.004310344827586207
81,.Net,SQL,0.008620689655172414
82,.Net,Hadoop,0.004310344827586207
83,.Net,Data Analysis,0.004310344827586207
84,.Net,Software Development,0.004310344827586207
85,.Net,Shell Scripting,0.004310344827586207
86,.Net,Oracle,0.004310344827586207
87,.Net,Spark,0.004310344827586207
88,.Net,Scripting,0.004310344827586207
89,.Net,Machine Learning,0.004310344827586207
90,.Net,Microsoft SQL Server,0.004310344827586207
91,.Net,Git,0.004310344827586207
92,.Net,MATLAB,0.004310344827586207
93,.Net,JavaScript,0.004310344827586207
94,AWS,Machine Learning,0.004310344827586207
95,AI,Machine Learning,0.004310344827586207
96,Oracle,SAS,0.004310344827586207
97,Oracle,SQL,0.004310344827586207
98,Oracle,Software Development,0.004310344827586207
99,Oracle,Shell Scripting,0.004310344827586207
100,Oracle,.Net,0.004310344827586207
101,Oracle,Spark,0.004310344827586207
102,Oracle,Scripting,0.004310344827586207
103,Oracle,Machine Learning,0.004310344827586207
104,Oracle,Microsoft SQL Server,0.004310344827586207
105,Oracle,Git,0.004310344827586207
106,Oracle,MATLAB,0.004310344827586207
107,Microsoft Office,Machine Learning,0.004310344827586207
108,Spark,SAS,0.004310344827586207
109,Spark,SQL,0.004310344827586207
110,Spark,Software Development,0.004310344827586207
111,Spark,Shell Scripting,0.004310344827586207
112,Spark,.Net,0.004310344827586207
113,Spark,Oracle,0.004310344827586207
114,Spark,Scripting,0.004310344827586207
115,Spark,Machine Learning,0.004310344827586207
116,Spark,Microsoft SQL Server,0.004310344827586207
117,Spark,Git,0.004310344827586207
118,Spark,MATLAB,0.004310344827586207
119,Scripting,Java,0.004310344827586207
120,Scripting,SAS,0.004310344827586207
121,Scripting,Hive,0.004310344827586207
122,Scripting,SQL,0.004310344827586207
123,Scripting,Software Development,0.004310344827586207
124,Scripting,Shell Scripting,0.04741379310344827
125,Scripting,.Net,0.004310344827586207
126,Scripting,Oracle,0.004310344827586207
127,Scripting,Spark,0.004310344827586207
128,Scripting,Machine Learning,0.008620689655172414
129,Scripting,Microsoft SQL Server,0.004310344827586207
130,Scripting,Git,0.004310344827586207
131,Scripting,MATLAB,0.004310344827586207
132,Scripting,JavaScript,0.004310344827586207
133,Tableau,Machine Learning,0.004310344827586207
134,Tableau,MATLAB,0.004310344827586207
135,MySQL,SQL,0.004310344827586207
136,MySQL,Machine Learning,0.004310344827586207
137,Machine Learning,R,0.004310344827586207
138,Machine Learning,Java,0.008620689655172414
139,Machine Learning,SPSS,0.004310344827586207
140,Machine Learning,SAS,0.004310344827586207
141,Machine Learning,Hive,0.004310344827586207
142,Machine Learning,SQL,0.01293103448275862
143,Machine Learning,Hadoop,0.004310344827586207
144,Machine Learning,Data Analysis,0.004310344827586207
145,Machine Learning,Software Development,0.004310344827586207
146,Machine Learning,Data Warehouse,0.004310344827586207
147,Machine Learning,Shell Scripting,0.004310344827586207
148,Machine Learning,Business Intelligence,0.004310344827586207
149,Machine Learning,.Net,0.004310344827586207
150,Machine Learning,AWS,0.004310344827586207
151,Machine Learning,AI,0.004310344827586207
152,Machine Learning,Oracle,0.004310344827586207
153,Machine Learning,Microsoft Office,0.004310344827586207
154,Machine Learning,Spark,0.004310344827586207
155,Machine Learning,Scripting,0.008620689655172414
156,Machine Learning,Tableau,0.004310344827586207
157,Machine Learning,MySQL,0.004310344827586207
158,Machine Learning,Data Science,0.004310344827586207
159,Machine Learning,Scala,0.004310344827586207
160,Machine Learning,Perl,0.004310344827586207
161,Machine Learning,Microsoft SQL Server,0.004310344827586207
162,Machine Learning,S3,0.004310344827586207
163,Machine Learning,Git,0.004310344827586207
164,Machine Learning,Linux,0.004310344827586207
165,Machine Learning,MongoDB,0.004310344827586207
166,Machine Learning,Big Data,0.004310344827586207
167,Machine Learning,MATLAB,0.004310344827586207
168,Machine Learning,JavaScript,0.004310344827586207
169,Data Science,Machine Learning,0.004310344827586207
170,Data Science,Git,0.004310344827586207
171,Data Science,MATLAB,0.004310344827586207
172,Scala,Machine Learning,0.004310344827586207
173,Perl,Machine Learning,0.004310344827586207
174,Microsoft SQL Server,SAS,0.004310344827586207
175,Microsoft SQL Server,SQL,0.03879310344827586
176,Microsoft SQL Server,Software Development,0.004310344827586207
177,Microsoft SQL Server,Shell Scripting,0.004310344827586207
178,Microsoft SQL Server,.Net,0.004310344827586207
179,Microsoft SQL Server,Oracle,0.004310344827586207
180,Microsoft SQL Server,Spark,0.004310344827586207
181,Microsoft SQL Server,Scripting,0.004310344827586207
182,Microsoft SQL Server,Machine Learning,0.004310344827586207
183,Microsoft SQL Server,Git,0.004310344827586207
184,Microsoft SQL Server,MATLAB,0.004310344827586207
185,S3,Machine Learning,0.004310344827586207
186,Git,SAS,0.004310344827586207
187,Git,Hive,0.004310344827586207
188,Git,SQL,0.004310344827586207
189,Git,Software Development,0.004310344827586207
190,Git,Shell Scripting,0.004310344827586207
191,Git,.Net,0.004310344827586207
192,Git,Oracle,0.004310344827586207
193,Git,Spark,0.004310344827586207
194,Git,Scripting,0.004310344827586207
195,Git,Machine Learning,0.004310344827586207
196,Git,Data Science,0.004310344827586207
197,Git,Microsoft SQL Server,0.004310344827586207
198,Git,MATLAB,0.004310344827586207
199,Linux,Machine Learning,0.004310344827586207
200,MongoDB,Machine Learning,0.004310344827586207
201,Big Data,Machine Learning,0.004310344827586207
202,MATLAB,R,0.004310344827586207
203,MATLAB,Java,0.004310344827586207
204,MATLAB,Python,0.004310344827586207
205,MATLAB,SAS,0.004310344827586207
206,MATLAB,Hive,0.004310344827586207
207,MATLAB,SQL,0.008620689655172414
208,MATLAB,Hadoop,0.004310344827586207
209,MATLAB,Data Analysis,0.004310344827586207
210,MATLAB,Software Development,0.004310344827586207
211,MATLAB,Shell Scripting,0.004310344827586207
212,MATLAB,.Net,0.004310344827586207
213,MATLAB,Oracle,0.004310344827586207
214,MATLAB,Spark,0.004310344827586207
215,MATLAB,Scripting,0.004310344827586207
216,MATLAB,Tableau,0.004310344827586207
217,MATLAB,Machine Learning,0.004310344827586207
218,MATLAB,Data Science,0.004310344827586207
219,MATLAB,Microsoft SQL Server,0.004310344827586207
220,MATLAB,Git,0.004310344827586207
221,MATLAB,JavaScript,0.004310344827586207
222,JavaScript,Java,0.017241379310344827
223,JavaScript,Shell Scripting,0.004310344827586207
224,JavaScript,.Net,0.004310344827586207
225,JavaScript,Scripting,0.004310344827586207
226,JavaScript,Machine Learning,0.004310344827586207
227,JavaScript,MATLAB,0.004310344827586207
