Source,Target,rel
Python,SQL,0.659482759
Python,Machine Learning,0.030172414
Python,R,0.702586207
Python,Hadoop,0.051724138
Python,Spark,0.064655172
Python,Java,0.150862069
Python,Tableau,0.379310345
Python,Hive,0.030172414
Python,SAS,0.159482759
Python,Big Data,0.030172414
Python,AWS,0.077586207
Python,Scala,0.038793103
Python,NoSQL,0.021551724
Python,C/C++,0.012931034
Python,Natural Language Processing,0.012931034
Python,Oracle,0.081896552
Python,Data Warehouse,0.012931034
Python,Linux,0.021551724
Python,AI,0.025862069
Python,Microsoft SQL Server,0.017241379
Python,TensorFlow,0.004310345
Python,Kafka,0.004310345
Python,Data Analysis,0.021551724
Python,Azure,0.017241379
Python,Microsoft Office,0.034482759
Python,Scripting,0.00862069
Python,Pig,0.012931034
Python,Git,0.043103448
Python,Excel,0.418103448
Python,JavaScript,0.034482759
Python,HBase,0.004310345
Python,PostgreSQL,0.038793103
Python,MySQL,0.064655172
Python,Perl,0.017241379
SQL,Python,0.659482759
SQL,Machine Learning,0.030172414
SQL,R,1.314655172
SQL,Hadoop,0.060344828
SQL,Spark,0.068965517
SQL,Java,0.181034483
SQL,Tableau,0.538793103
SQL,Hive,0.043103448
SQL,SAS,0.297413793
SQL,Big Data,0.038793103
SQL,AWS,0.090517241
SQL,Scala,0.030172414
SQL,NoSQL,0.034482759
SQL,C/C++,0.012931034
SQL,Natural Language Processing,0.012931034
SQL,Oracle,0.215517241
SQL,Data Warehouse,0.060344828
SQL,Linux,0.030172414
SQL,AI,0.030172414
SQL,Microsoft SQL Server,0.021551724
SQL,TensorFlow,0.004310345
SQL,Kafka,0.00862069
SQL,Data Analysis,0.068965517
SQL,Azure,0.030172414
SQL,MATLAB,0.00862069
SQL,Microsoft Office,0.073275862
SQL,Scripting,0.025862069
SQL,Pig,0.012931034
SQL,Git,0.043103448
SQL,Excel,0.88362069
SQL,JavaScript,0.030172414
SQL,HBase,0.00862069
SQL,PostgreSQL,0.051724138
SQL,MySQL,0.090517241
SQL,Perl,0.017241379
Machine Learning,Python,0.030172414
Machine Learning,SQL,0.030172414
Machine Learning,R,0.038793103
Machine Learning,Hadoop,0.004310345
Machine Learning,Spark,0.004310345
Machine Learning,Java,0.021551724
Machine Learning,Tableau,0.030172414
Machine Learning,SAS,0.017241379
Machine Learning,Big Data,0.004310345
Machine Learning,AWS,0.012931034
Machine Learning,Scala,0.00862069
Machine Learning,Natural Language Processing,0.012931034
Machine Learning,AI,0.012931034
Machine Learning,Data Analysis,0.004310345
Machine Learning,Microsoft Office,0.00862069
Machine Learning,Excel,0.030172414
Machine Learning,JavaScript,0.012931034
R,Python,0.702586207
R,SQL,1.314655172
R,Machine Learning,0.038793103
R,Hadoop,0.073275862
R,Spark,0.086206897
R,Java,0.189655172
R,Tableau,0.603448276
R,Hive,0.043103448
R,SAS,0.336206897
R,Big Data,0.051724138
