;SAS;Microsoft SQL Server;Hadoop;Natural Language Processing;AI;Kafka;Big Data;Tableau;Machine Learning;MATLAB;SQL;Scripting;Pig;HBase;R;Hive;MySQL;Data Analysis;Spark;Oracle;TensorFlow
SAS;0;2;0;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0
Microsoft SQL Server;2;0;2;2;2;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Hadoop;0;2;0;0;2;0;0;2;0;2;2;2;0;0;0;2;0;2;2;0;2
Natural Language Processing;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0
AI;2;2;2;0;0;0;0;2;0;2;2;2;0;0;0;2;2;2;2;0;2
Kafka;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Big Data;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Tableau;2;2;2;2;2;0;2;0;0;2;2;2;0;2;0;2;2;0;0;0;2
Machine Learning;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
MATLAB;2;2;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0
SQL;2;2;2;2;2;2;0;2;2;2;0;2;2;2;2;2;2;2;2;2;2
Scripting;0;2;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0
Pig;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
HBase;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0
R;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Hive;0;2;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0
MySQL;0;2;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0
Data Analysis;0;2;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0
Spark;0;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Oracle;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
TensorFlow;0;2;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0
