rating,job_title,company,location,salary,lat,lng,skills
,OPERATIONS ANALYST,Compass Bank dba BBVA Compass,"Birmingham, AL",,"33.5123288,",-86.8036185,R
,Jr Business Intelligence Analyst,Compass Bank dba BBVA Compass,"Birmingham, AL",,"33.5123288,",-86.8036185,R
,Data Analyst,HyreU,Alabama,,"40.6496878,",-74.3992284,"R,Hadoop"
,Junior Data Analyst,Southern Poverty Law Center,0,,"32.376105,",-86.3032785,"SQL,Tableau"
,Data Analyst,KBRWyle,0,,"32.9026232,",-80.0210655,R
,OPERATIONS ANALYST,BBVA Compass,0,,"31.58127009999999,",-97.1717752,R
,Data Analyst,City of Tuscaloosa,0,63473,"33.2098407,",-87.5691735,"Python,SQL,R,Java"
,Data Analyst,"Torch Technologies, Inc.","Huntsville, AL 35802",,"34.6774505,",-86.5779171,"R,Java"
,Business Data Analyst,US Department of the Army,0,88390,"34.6645843,",-98.4156381,"R,Data-Warehouse"
,Junior Data Analyst,Logistics Management Institute,0,,"37.0918096,",-76.4670789,"Python,R,Spark,Data-Analysis"
,Data Analytics Specialist,ITAC Solutions,"Birmingham, AL 35242",65000,"33.4458713,",-86.7926596,SQL
,Business Analyst,Randall-Reilly,"Tuscaloosa, AL",,"33.2458908,",-87.5122565,"SQL,R"
,Marketing Data Analyst,ITAC Solutions,"Birmingham, AL 35205",,"33.4458713,",-86.7926596,"SQL,R,SAS,Oracle,Microsoft-SQL-Server"
,HRIS Analyst,Command Alkon,"Birmingham, AL",,"33.405194,",-86.762813,"R,Tableau"
,Data Analyst,J&M TANKLINES,0,,"33.1619585,",-86.3052941,
,Clinical Quality Data Analyst,Cahaba Medical Care Foundation,"Centreville, AL 35042",,"32.9503365,",-87.1473076,R
,Data Analyst Associate,Continental Aerospace Technologies,"Mobile, AL",,"30.6449706,",-88.0720299,"Python,SQL,R,Tableau"
,DATA ANALYST,University of Alabama at Birmingham,0,,"33.5019893,",-86.8064433,"R,SAS"
,Business Analyst,Compass Bank dba BBVA Compass,"Birmingham, AL",,"33.5123288,",-86.8036185,R
,Data Analyst Associate,"Continental Motors, Inc.","Mobile, AL",,"45.572972,",-122.6609721,"Python,SQL,R,Tableau"
,Data Governance Analyst,Regions Bank,0,,"36.3036778,",-94.1860834,"R,Big-Data"
,Health Data Analyst,VIVA Health,0,,"33.5179596,",-86.8078452,"SQL,R"
,Systems Support Analyst 3 - Data Center,Wells Fargo,0,,"37.2262796,",-95.7063467,R
,Business Analyst,Convene Technologies,Alabama,,"28.052863,",-82.373616,
,Business Analyst,American Express Global Business Travel,United States,,"33.6205078,",-111.9306168,"SQL,R,Tableau"
,SAP FI/CO Functional Business Analyst,Cox Little & Company,"Birmingham, AL",115000,"35.1581422,",-80.8306425,R
,Business Analyst 50-60k,Vaco,"Birmingham, AL 35209",,"35.1030974,",-89.8614191,
,Business Analyst,PangeaTwo,"Birmingham, AL",,"33.4372609,",-86.7197095,R
,BUSINESS PROCESS ANALYST I,Compass Bank dba BBVA Compass,"Homewood, AL",,"33.5123288,",-86.8036185,R
,BUSINESS PROCESS ANALYST I,BBVA Compass,0,,"31.58127009999999,",-97.1717752,R
,Business Intelligence Analyst,STERIS,0,,"34.765519,",-92.434971,"SQL,R,Tableau,SAS,Oracle"
,Jr Business Intelligence Analyst,BBVA Compass,0,,"31.58127009999999,",-97.1717752,R
,Business Analyst,BBVA Compass,0,,"31.58127009999999,",-97.1717752,R
,Jr Business Intelligence Analyst,Books-A-Million,0,,"36.0562381,",-96.0053037,"SQL,R,Tableau"
,HR Data & Analytics Specialist,Encompass Health,0,,"36.1090302,",-94.1547355,"SQL,R,Tableau"
,HRIS Data Analyst,Ogletree Deakins,0,,"40.757962,",-73.9708356,R
,Business Analyst,MainStreet Family Urgent Care,0,,"34.3164068,",-86.5032777,R
,BUSINESS ANALYST,Integrated Solutions for Systems,0,,"34.6544581,",-86.7567684,
,Technical Business Analyst,ITAC Solutions,"Birmingham, AL 35233",,"33.4458713,",-86.7926596,"SQL,R"
,Manager of Data Analytics,ITAC Solutions,"Birmingham, AL 35233",,"33.4458713,",-86.7926596,"Python,SQL,R"
,Business Analyst,"CGI Group, Inc.","Birmingham, AL 35202",,"33.355946,",-111.974133,R
,Senior Business Analyst,ResourceTek,"Muscle Shoals, AL",,"36.1545849,",-86.771998,"SQL,R,Oracle"
,Senior Technical Data Management Analyst,Intuitive Research and Technology,"Huntsville, AL 35824",,"34.7298507,",-86.6672226,R
,Data Analysis Associate – General Aviation,The Aviation Recruitment & Consulting Group,"Mobile, AL",54000,"30.0939669,",-81.711467,"R,Data-Analysis"
,E-Commerce Data Analytics Manager,Fetch,0,88000,"39.1013118,",-94.5994044,R
,Category Management Analyst,Shipt,0,,"33.5143606,",-86.8051441,"SQL,R,Tableau"
,Data Analyst,Canvas Inc.,"Huntsville, AL 35801",,"34.7330801,",-86.5853001,R
,Business Analyst - Data Quality Services,Jacobs,0,,"36.1515073,",-95.9926189,"SQL,R"
,Business Analyst,UDA Technologies,0,,"32.583397,",-85.441017,"SQL,R,Microsoft-Office"
,Strategic/Business Analyst,INTERNATIONAL CODE COUNCIL INC,0,,"41.5419849,",-87.714541,R
,Data Analyst,"a.i. solutions, Inc",0,,"38.9511572,",-76.8342039,R
,HRIS Analyst,Command Alkon,0,,"33.405194,",-86.762813,"R,Tableau"
,Business Analyst,ibml,0,,"33.5418659,",-86.6905356,R
,Quality Analyst Sr,"QTC Management, Inc.",United States,,"34.1090729,",-117.8245735,R
,"Analyst II, Business",Spire,"Birmingham, AL 35295",,"39.0659452,",-94.5907451,"SQL,R,Oracle"
,Business Analyst,CBD College,United States,,"34.062241,",-118.306148,"SQL,R,Java,Tableau"
,Business Analyst – Metadata Management / Data Quality Servic...,Jacobs,0,,"36.1515073,",-95.9926189,"SQL,R"
,"Analyst II, Business (Birmingham)",Spire Inc.,"Birmingham, AL 35295",,"37.7651131,",-122.4024625,"SQL,R,Oracle"
,Supply Chain Management Data Analyst,Southeast Health,0,,"31.2159629,",-85.3660809,R
,Data Quality Analyst (Nationwide),Alliance Source Testing LLC,"Decatur, AL 35601",,"34.5389933,",-86.9824283,"R,Microsoft-Office"
,Business Analyst II,Jacobs,0,,"36.1515073,",-95.9926189,"R,Oracle"
,Business Analyst,UDA Technologies,0,,"32.583397,",-85.441017,"SQL,R,Microsoft-Office"
,Senior Business Analyst,FreightCar America,0,,"34.748771,",-87.8829002,"SQL,R,Oracle"
,"Senior Technical Data Management Analyst - Huntsville, AL",Intuitive Research and Technology Corporation,0,,"34.7298507,",-86.6672226,R
,Business Analyst,"CGI Group, Inc.",0,,"33.355946,",-111.974133,R
