,loc
0,"[34.220389, 70.3800314]"
1,"[34.220389, 70.3800314]"
2,"[40.7127281, -74.0060152]"
3,"[40.7127281, -74.0060152]"
4,"[40.7896239, -73.9598939]"
5,"[40.72982535, -73.9607519781549]"
6,"[40.7127281, -74.0060152]"
7,"[40.6501038, -73.9495823]"
8,"[40.74123595, -73.356691165361]"
9,"[40.7127281, -74.0060152]"
10,"[34.220389, 70.3800314]"
11,"[34.220389, 70.3800314]"
12,"[40.7127281, -74.0060152]"
13,"[40.7127281, -74.0060152]"
14,"[40.7644002, -73.998863]"
15,"[34.220389, 70.3800314]"
16,"[40.7127281, -74.0060152]"
17,"[34.220389, 70.3800314]"
18,"[40.7524472, -73.9646461]"
19,"[40.7127281, -74.0060152]"
20,"[40.7127281, -74.0060152]"
21,"[34.220389, 70.3800314]"
22,"[40.7127281, -74.0060152]"
23,"[40.7127281, -74.0060152]"
24,"[40.7602435, -74.0028752]"
25,"[40.7127281, -74.0060152]"
26,"[40.7524472, -73.9646461]"
27,"[40.7127281, -74.0060152]"
28,"[34.220389, 70.3800314]"
29,"[40.7127281, -74.0060152]"
30,"[40.6524927, -73.7914214158161]"
31,"[34.220389, 70.3800314]"
32,"[40.7415237, -73.9571276]"
33,"[40.7896239, -73.9598939]"
34,"[34.220389, 70.3800314]"
35,"[34.220389, 70.3800314]"
36,"[40.7896239, -73.9598939]"
37,"[40.7127281, -74.0060152]"
38,"[34.220389, 70.3800314]"
39,"[40.7607161, -73.9669623]"
40,"[40.7607161, -73.9669623]"
41,"[40.7127281, -74.0060152]"
42,"[34.220389, 70.3800314]"
43,"[34.220389, 70.3800314]"
44,"[40.7493074, -73.9794185]"
45,"[40.7127281, -74.0060152]"
46,"[40.74123595, -73.356691165361]"
47,"[40.7644002, -73.998863]"
48,"[40.7127281, -74.0060152]"
49,"[40.7493074, -73.9794185]"
50,"[34.220389, 70.3800314]"
51,"[40.85048545, -73.8404035580209]"
52,"[34.220389, 70.3800314]"
53,"[40.7127281, -74.0060152]"
54,"[40.7127281, -74.0060152]"
55,"[34.220389, 70.3800314]"
56,"[34.220389, 70.3800314]"
57,"[40.7644002, -73.998863]"
58,"[34.220389, 70.3800314]"
59,"[40.6501038, -73.9495823]"
60,"[40.7127281, -74.0060152]"
61,"[40.7127281, -74.0060152]"
62,"[40.7493074, -73.9794185]"
63,"[34.220389, 70.3800314]"
64,"[34.220389, 70.3800314]"
65,"[40.7127281, -74.0060152]"
66,"[40.7127281, -74.0060152]"
67,"[40.7589594623532, -73.9795718759534]"
68,"[34.220389, 70.3800314]"
69,"[34.220389, 70.3800314]"
70,"[34.220389, 70.3800314]"
71,"[40.74123595, -73.356691165361]"
72,"[34.220389, 70.3800314]"
73,"[34.220389, 70.3800314]"
74,"[34.220389, 70.3800314]"
75,"[40.7555755, -73.97503]"
76,"[40.7524472, -73.9646461]"
77,"[40.7127281, -74.0060152]"
78,"[34.220389, 70.3800314]"
79,"[40.7392225, -73.97336]"
80,"[40.7127281, -74.0060152]"
81,"[40.7127281, -74.0060152]"
82,"[34.220389, 70.3800314]"
83,"[40.7127281, -74.0060152]"
84,"[34.220389, 70.3800314]"
85,"[40.7127281, -74.0060152]"
86,"[40.7896239, -73.9598939]"
87,"[34.220389, 70.3800314]"
88,"[40.7127281, -74.0060152]"
89,"[40.7127281, -74.0060152]"
90,"[40.7127281, -74.0060152]"
91,"[40.7127281, -74.0060152]"
92,"[40.72982535, -73.9607519781549]"
93,"[34.220389, 70.3800314]"
94,"[40.7392225, -73.97336]"
95,"[40.7127281, -74.0060152]"
96,"[40.74123595, -73.356691165361]"
97,"[40.7524472, -73.9646461]"
98,"[40.7127281, -74.0060152]"
99,"[40.7127281, -74.0060152]"
100,"[40.7503306739266, -73.9918982475797]"
101,"[34.220389, 70.3800314]"
102,"[40.74123595, -73.356691165361]"
103,"[40.7524472, -73.9646461]"
104,"[40.7127281, -74.0060152]"
105,"[40.7524472, -73.9646461]"
106,"[34.220389, 70.3800314]"
107,"[40.7127281, -74.0060152]"
108,"[34.220389, 70.3800314]"
109,"[40.7896239, -73.9598939]"
110,"[34.220389, 70.3800314]"
111,"[40.7127281, -74.0060152]"
112,"[40.74123595, -73.356691165361]"
113,"[40.74123595, -73.356691165361]"
114,"[40.7127281, -74.0060152]"
115,"[34.220389, 70.3800314]"
116,"[40.7524472, -73.9646461]"
117,"[40.7127281, -74.0060152]"
118,"[40.7127281, -74.0060152]"
119,"[34.220389, 70.3800314]"
120,"[40.74123595, -73.356691165361]"
121,"[40.74123595, -73.356691165361]"
122,"[40.74123595, -73.356691165361]"
123,"[40.7513470533201, -73.975136004133]"
124,"[34.220389, 70.3800314]"
125,"[40.7127281, -74.0060152]"
126,"[40.7602435, -74.0028752]"
127,"[40.74123595, -73.356691165361]"
128,"[40.74123595, -73.356691165361]"
129,"[40.7493074, -73.9794185]"
130,"[34.220389, 70.3800314]"
131,"[40.7127281, -74.0060152]"
132,"[34.220389, 70.3800314]"
133,"[34.220389, 70.3800314]"
134,"[40.74123595, -73.356691165361]"
135,"[40.7127281, -74.0060152]"
136,"[34.220389, 70.3800314]"
137,"[40.7127281, -74.0060152]"
138,"[40.7127281, -74.0060152]"
139,"[40.7127281, -74.0060152]"
140,"[34.220389, 70.3800314]"
141,"[34.220389, 70.3800314]"
142,"[34.220389, 70.3800314]"
143,"[34.220389, 70.3800314]"
144,"[40.74123595, -73.356691165361]"
145,"[34.220389, 70.3800314]"
146,"[40.7127281, -74.0060152]"
147,"[40.7589594623532, -73.9795718759534]"
148,"[40.7127281, -74.0060152]"
149,"[40.7127281, -74.0060152]"
150,"[40.7127281, -74.0060152]"
151,"[40.74123595, -73.356691165361]"
152,"[40.74123595, -73.356691165361]"
153,"[40.7555755, -73.97503]"
154,"[34.220389, 70.3800314]"
155,"[40.7127281, -74.0060152]"
156,"[34.220389, 70.3800314]"
157,"[40.7127281, -74.0060152]"
158,"[40.7127281, -74.0060152]"
159,"[34.220389, 70.3800314]"
160,"[40.7127281, -74.0060152]"
161,"[40.7127281, -74.0060152]"
162,"[34.220389, 70.3800314]"
163,"[40.7524472, -73.9646461]"
164,"[34.220389, 70.3800314]"
165,"[40.7524472, -73.9646461]"
166,"[40.7493074, -73.9794185]"
167,"[40.7736085280661, -73.9565074992354]"
168,"[40.7896239, -73.9598939]"
169,"[40.6501038, -73.9495823]"
170,"[40.7127281, -74.0060152]"
171,"[40.7127281, -74.0060152]"
172,"[40.7127281, -74.0060152]"
173,"[40.7127281, -74.0060152]"
174,"[40.7493074, -73.9794185]"
175,"[34.220389, 70.3800314]"
176,"[40.7607161, -73.9669623]"
177,"[40.7862724108575, -73.9756026854427]"
178,"[34.220389, 70.3800314]"
179,"[40.7127281, -74.0060152]"
180,"[40.7127281, -74.0060152]"
181,"[34.220389, 70.3800314]"
182,"[40.7896239, -73.9598939]"
183,"[40.7392225, -73.97336]"
184,"[40.6501038, -73.9495823]"
185,"[40.7127281, -74.0060152]"
186,"[40.7127281, -74.0060152]"
187,"[40.7127281, -74.0060152]"
188,"[40.7127281, -74.0060152]"
189,"[40.7127281, -74.0060152]"
190,"[40.7127281, -74.0060152]"
191,"[40.7896239, -73.9598939]"
192,"[40.7127281, -74.0060152]"
193,"[40.7127281, -74.0060152]"
194,"[40.7127281, -74.0060152]"
195,"[40.7127281, -74.0060152]"
196,"[40.754603, -73.9756765]"
197,"[40.7127281, -74.0060152]"
198,"[40.7392225, -73.97336]"
199,"[40.7555755, -73.97503]"
200,"[40.7127281, -74.0060152]"
201,"[40.6501038, -73.9495823]"
202,"[40.7484282571429, -73.9855041857143]"
203,"[40.7127281, -74.0060152]"
204,"[40.7127281, -74.0060152]"
205,"[34.220389, 70.3800314]"
206,"[34.220389, 70.3800314]"
207,"[40.6501038, -73.9495823]"
208,"[40.7127281, -74.0060152]"
209,"[40.7127281, -74.0060152]"
210,"[40.7127281, -74.0060152]"
211,"[34.220389, 70.3800314]"
212,"[40.72982535, -73.9607519781549]"
213,"[34.220389, 70.3800314]"
214,"[34.220389, 70.3800314]"
215,"[34.220389, 70.3800314]"
