job_title,rating,average,company,reviews,location,datepost,lat,lon,skills
"Junior Business Analyst, Client Services",,0,,,,30,0,0,"Python,SQL,R,Spark,Hive,AWS,Data-Warehouse"
Data Analyst,,0,,,,30,0,0,"SQL,R"
LIBOR - Project Manager / Business Analyst,4.5,0,Prospect 33,2,"New York, NY",30,40.7127281,-74.0060152,R
Business Analyst,4.5,0,Prospect 33,2,"New York, NY",30,40.7127281,-74.0060152,"R,Microsoft-Office"
"Data Analyst, PNA",3.8,0,New York City NYC HOUSING AUTHORITY,754,"Manhattan, NY",30,40.7896239,-73.9598939,R
Business Analyst,3.4,75000,ThoughtFocus,21,"New York, NY 10001",30,40.72982535,-73.96075198,
Mortgage Data & Collateral Analyst,3.2,0,Global Atlantic Financial Group,23,"New York, NY",30,40.7127281,-74.0060152,
Data Analyst,4.2,55000,UncommonGoods,174,"Brooklyn, NY 11220",30,40.6501038,-73.9495823,R
Audience Data Analyst,3.9,0,Dow Jones,198,"New York, NY 10176",30,40.74123595,-73.35669117,"Python,SQL,R,Java,Tableau,AWS,Data-Analysis"
Data Analyst Intern,3.5,0,Chexology,2,"New York, NY 10011",30,40.7127281,-74.0060152,R
"Analyst, Entry Level",,73000,,,,30,0,0,"R,Microsoft-Office"
Senior Data Analyst,,0,,,,30,0,0,
Sales Analyst,3.2,120000,Uline,360,"New York, NY",30,40.7127281,-74.0060152,R
Business Intelligence Solutions Specialist,4.4,0,Indeed,515,"New York, NY",30,40.7127281,-74.0060152,
"Analyst, Data and Insights Group - Advertising",4,150000,The New York Times,239,"New York, NY 10036",30,40.7644002,-73.998863,"SQL,R"
"Data Analyst, Go-Live",,0,,,,30,0,0,
Data Analyst,4,0,United Federation of Teachers,32,"New York, NY 10004",30,40.7127281,-74.0060152,
Alternative Data Research Analyst,,72500,,,,30,0,0,
"Data Analyst, People Analytics",4.2,0,Facebook,494,"New York, NY 10017",30,40.7524472,-73.9646461,
Data Analyst,4.3,0,ektello,6,"New York, NY",30,40.7127281,-74.0060152,"Python,SQL,R,Tableau,Linux"
Mortgage Whole Loan Data & Collateral Analyst,3.2,0,Global Atlantic Financial Group,23,"New York, NY",30,40.7127281,-74.0060152,
Project Manager/ Technical Business Analyst,,0,,,,30,0,0,
