,Paired Skills,Salary
0,".Net,Machine Learning",124792
1,"MATLAB,Machine Learning",123957
2,"Git,Machine Learning",121008
3,"Machine Learning,Shell Scripting",120367
4,"Machine Learning,SAS",119980
5,"Machine Learning,Software Development",118236
6,"Machine Learning,Microsoft SQL Server",116797
7,"Machine Learning,Spark",116612
8,"Machine Learning,Oracle",115217
9,"Hive,Machine Learning",115177
10,"JavaScript,Machine Learning",113539
11,".Net,Shell Scripting",112377
12,"MATLAB,Shell Scripting",111908
13,"Machine Learning,SQL",111842
14,"Hadoop,Machine Learning",111759
15,"MATLAB,SAS",111561
16,".Net,MATLAB",111378
17,"Git,MATLAB",111243
18,"C/C++,Machine Learning",110698
19,"Machine Learning,R",110593
20,".Net,SAS",110485
21,".Net,Git",110311
22,"Data Analysis,Machine Learning",109907
23,"Data Science,Machine Learning",109377
24,"Business Intelligence,Machine Learning",109065
25,"Kafka,Machine Learning",108996
26,Machine Learning,108996
27,"Machine Learning,TensorFlow",108996
28,"Cassandra,Machine Learning",108996
29,"HBase,Machine Learning",108893
30,"Machine Learning,Natural Language Processing",108689
31,"Git,Shell Scripting",108257
32,"MATLAB,Software Development",108182
33,"MATLAB,Spark",108137
34,".Net,Microsoft SQL Server",108097
35,"Azure,Machine Learning",108069
36,"Java,Machine Learning",108037
37,"MATLAB,Oracle",108012
38,"MATLAB,Microsoft SQL Server",107514
39,".Net,Spark",107470
40,".Net,Oracle",107402
41,"AI,Machine Learning",107217
42,".Net,Software Development",106989
43,"SAS,Shell Scripting",106944
44,"Git,SAS",106641
45,"Big Data,Machine Learning",106607
46,"Machine Learning,MongoDB",106595
47,"Linux,Machine Learning",106408
48,"Shell Scripting,Software Development",105485
49,"Hive,MATLAB",105459
50,"Machine Learning,Scala",105235
51,"Oracle,Shell Scripting",105216
52,".Net,Hive",104687
53,"Machine Learning,SPSS",104600
54,"Microsoft SQL Server,SAS",104379
55,"Shell Scripting,Spark",104346
56,"Git,Microsoft SQL Server",104130
57,"Machine Learning,Scripting",104086
58,"Git,Spark",103986
59,"Machine Learning,Microsoft Office",103939
60,"SAS,Software Development",103870
61,"SAS,Spark",103766
62,"JavaScript,MATLAB",103652
63,"Oracle,SAS",103600
64,"Git,Software Development",103551
65,"Git,Oracle",103282
66,"Hive,Shell Scripting",103065
67,".Net,JavaScript",102920
68,"AWS,Machine Learning",102690
69,"Microsoft SQL Server,Shell Scripting",102439
70,"MATLAB,Python",102439
71,"MATLAB,SQL",102077
72,"Hadoop,MATLAB",101994
73,".Net,Python",101640
74,"Hive,SAS",101450
75,"Machine Learning,Perl",101364
76,"Microsoft SQL Server,Software Development",101358
77,"Software Development,Spark",101214
78,"Data Science,Git",101197
79,".Net,Hadoop",101194
80,".Net,SQL",101146
81,"Git,Hive",101131
82,"Microsoft SQL Server,Oracle",101089
83,"Microsoft SQL Server,Spark",100962
84,"Oracle,Spark",100945
85,"MATLAB,R",100828
86,"Machine Learning,Tableau",100777
87,"JavaScript,Shell Scripting",100759
88,"Machine Learning,S3",100717
89,"Oracle,Software Development",100510
90,"Data Analysis,MATLAB",100035
91,".Net,R",100028
92,"MATLAB,Tableau",99776
93,"Data Science,MATLAB",99724
94,"Machine Learning,MySQL",99684
95,"Data Warehouse,Machine Learning",99663
96,".Net,Data Analysis",99259
97,"Cassandra,MATLAB",99230
98,"Kafka,MATLAB",99230
99,"MATLAB,TensorFlow",99230
100,MATLAB,99230
101,"Python,Shell Scripting",99200
102,"Business Intelligence,MATLAB",99138
103,"HBase,MATLAB",99128
104,"SQL,Shell Scripting",99091
105,"Git,JavaScript",98825
106,".Net,Data Science",98812
107,".Net,Business Intelligence",98759
108,"MATLAB,Natural Language Processing",98696
109,".Net,Tableau",98669
110,"Machine Learning,Python",98603
