,Paired Skills,Salary
0,"Data Science,Project Management,Tableau",165660
1,"Data Science,Microsoft SQL Server,Project Management",163101
2,"Microsoft SQL Server,Project Management,Tableau",159510
3,"AI,Data Science,Project Management",158571
4,"AI,Data Science,Microsoft SQL Server",158376
5,"Data Science,Hadoop,Microsoft SQL Server",155581
6,"Data Science,Hadoop,Project Management",155537
7,"AI,Project Management,Tableau",154910
8,"Data Science,MATLAB,Project Management",154108
9,"Data Science,MATLAB,Microsoft SQL Server",153764
10,"Data Science,Microsoft SQL Server,SAS",152903
11,"Data Science,Microsoft SQL Server,Tableau",152166
12,"Data Science,Project Management,SAS",151141
13,"Data Science,Project Management,TensorFlow",150039
14,"Hadoop,Project Management,Tableau",149862
15,"MATLAB,Project Management,Tableau",149639
16,"AI,Microsoft SQL Server,Project Management",148518
17,"AI,Data Science,MATLAB",147513
18,"Data Analysis,Data Science,Project Management",147384
19,"Data Analysis,Data Science,Microsoft SQL Server",147184
20,"Data Science,Microsoft SQL Server,TensorFlow",146795
21,"Project Management,SAS,Tableau",146418
22,"Project Management,SQL,Tableau",145922
23,"AI,Data Science,Hadoop",145786
24,"AI,Data Science,Tableau",145674
25,"Data Science,Project Management,Scripting",145375
26,"AI,Data Science,SAS",145206
27,"MySQL,Project Management,Tableau",144886
28,"AI,Data Analysis,Data Science",144583
29,"Data Science,Microsoft SQL Server,Shell Scripting",144573
30,"Data Science,Microsoft SQL Server,SQL",144541
31,"Data Science,Project Management,Shell Scripting",144529
32,"Hadoop,Microsoft SQL Server,Project Management",144352
33,"Data Science,Project Management,SQL",144118
34,"Data Science,Hadoop,MATLAB",143846
35,"Microsoft SQL Server,Project Management,Spark",142980
36,"Data Science,MySQL,Project Management",142806
37,"Data Science,Hive,Microsoft SQL Server",142654
38,"Data Science,Hive,Project Management",142587
39,"MATLAB,Microsoft SQL Server,Project Management",142577
40,"Data Science,MATLAB,SAS",142498
41,"Data Science,Microsoft SQL Server,MySQL",142479
42,"AI,Microsoft SQL Server,Tableau",142135
43,"Data Science,Hadoop,Tableau",141997
44,"Data Science,MATLAB,Tableau",141732
45,"Data Science,HBase,Microsoft SQL Server",141695
46,"Data Science,HBase,Project Management",141652
47,"AI,Data Science,TensorFlow",141549
48,"Data Science,Microsoft SQL Server,Scripting",141416
49,"Data Science,Microsoft SQL Server,Natural Language Processing",141377
50,"Project Management,Scripting,Tableau",141348
51,"Data Science,Natural Language Processing,Project Management",141054
52,"Microsoft SQL Server,Project Management,SAS",140868
53,"Project Management,Tableau,TensorFlow",140810
54,"Project Management,Shell Scripting,Tableau",140503
55,"Microsoft SQL Server,Project Management,SQL",140049
56,".Net,Data Science,Microsoft SQL Server",139884
57,"Data Science,Microsoft SQL Server",139884
58,".Net,Data Science,Project Management",139840
59,"Data Science,Project Management",139840
60,"Data Science,Microsoft SQL Server,R",139751
61,"Data Science,Project Management,R",139559
62,"Data Science,Hadoop,Hive",139543
63,"Data Science,Microsoft SQL Server,Pig",139491
64,"Data Science,Microsoft SQL Server,Oracle",139433
65,"Data Science,Pig,Project Management",139425
66,"Data Science,SAS,Tableau",139359
67,"AI,Microsoft SQL Server,Spark",139322
68,"Big Data,Project Management,Tableau",138648
69,"AI,MATLAB,Microsoft SQL Server",138593
70,"Hive,Project Management,Tableau",138560
71,"AI,Project Management,Spark",138559
72,"AI,Data Science,Scripting",138335
73,"AI,Data Science,Shell Scripting",138260
74,"AI,MATLAB,Project Management",138217
75,"Data Science,Kafka,Microsoft SQL Server",138169
76,"Microsoft SQL Server,Project Management,TensorFlow",138142
77,"Data Science,Kafka,Project Management",138125
78,"Data Analysis,Data Science,Hadoop",138059
79,"Data Science,Machine Learning,Microsoft SQL Server",137687
80,"HBase,Project Management,Tableau",137625
81,"Data Science,Machine Learning,Project Management",137549
82,"AI,Microsoft SQL Server,SAS",137544
83,"Data Science,Tableau,TensorFlow",137390
84,"Hadoop,Microsoft SQL Server,Tableau",137327
85,"AI,Data Science,SQL",137269
86,"Data Science,Hadoop,TensorFlow",137264
87,"AI,Hadoop,Microsoft SQL Server",137213
88,"Natural Language Processing,Project Management,Tableau",136917
89,"Data Science,Microsoft SQL Server,SPSS",136721
90,"MATLAB,Microsoft SQL Server,Tableau",136715
91,"Data Analysis,Data Science,MATLAB",136694
92,"AI,Hadoop,Project Management",136449
93,"Data Science,MySQL,Tableau",136363
94,"AI,Data Science,Hive",136341
95,"AI,Data Science,MySQL",136254
96,"Data Analysis,Microsoft SQL Server,Project Management",136235
97,"AI,Data Analysis,Microsoft SQL Server",136045
98,"Hadoop,Microsoft SQL Server,Spark",135993
99,"Data Science,Hadoop,Scripting",135854
100,"Data Science,Microsoft SQL Server,Software Development",135830
101,"Project Management,Tableau",135813
102,".Net,Project Management,Tableau",135813
103,"AI,Microsoft SQL Server,SQL",135810
104,"Data Analysis,Data Science,SAS",135724
105,"Data Science,Project Management,Software Development",135664
106,"Microsoft SQL Server,SAS,Tableau",135600
107,"AI,Data Analysis,Project Management",135526
108,"Project Management,R,Tableau",135420
109,"Pig,Project Management,Tableau",135398
110,"AI,Data Science,HBase",135383
111,"Data Science,Project Management,SPSS",135370
112,"Data Science,Hadoop,Shell Scripting",135276
113,"Data Science,Microsoft Office,Microsoft SQL Server",135195
114,"AI,Data Science,Natural Language Processing",135064
115,"AI,Project Management,SAS",135063
116,"Hadoop,Project Management,Spark",134990
117,"Data Science,Microsoft Office,Project Management",134970
118,"Data Science,Hadoop,SQL",134904
119,"AI,Project Management,TensorFlow",134788
120,"Data Science,SAS,TensorFlow",134729
121,"AI,Project Management,SQL",134668
122,"Data Science,MATLAB,TensorFlow",134230
123,"Data Science,MATLAB,Scripting",134226
124,"Machine Learning,Project Management,Tableau",134146
125,"Kafka,Project Management,Tableau",134034
126,"Java,Project Management,Tableau",133951
127,"Hadoop,MATLAB,Microsoft SQL Server",133795
128,"Microsoft SQL Server,SQL,Tableau",133765
129,"Microsoft SQL Server,SAS,Spark",133737
130,"AI,Data Science",133571
131,".Net,AI,Data Science",133571
132,"Data Science,Hadoop,MySQL",133521
133,"Microsoft SQL Server,Project Management,Shell Scripting",133469
134,"MATLAB,Microsoft SQL Server,Spark",133464
135,"AI,Data Science,R",133439
136,"MATLAB,Microsoft SQL Server,SAS",133358
137,"AWS,Data Science,Microsoft SQL Server",133275
138,"Hadoop,MATLAB,Project Management",133180
139,"AI,Data Science,Pig",133178
140,"AWS,Data Science,Project Management",133149
141,"Data Science,MATLAB,SQL",133148
142,"Data Science,Scripting,Tableau",133141
143,"Data Science,SAS,Scripting",132920
144,"MATLAB,Project Management,Spark",132850
145,"Data Science,SAS,SQL",132646
146,"Data Analysis,Project Management,Tableau",132539
147,"Data Science,Shell Scripting,Tableau",132513
148,"Data Science,SAS,Shell Scripting",132428
149,"Data Science,Linux,Project Management",132378
150,"Hadoop,Microsoft SQL Server,SQL",132314
151,"Data Science,Hadoop,Natural Language Processing",132282
152,"AI,Microsoft SQL Server,TensorFlow",132264
153,"Big Data,Microsoft SQL Server,Project Management",132239
154,"Microsoft SQL Server,Tableau,TensorFlow",132008
155,"Microsoft SQL Server,MySQL,Tableau",131980
156,"Data Science,Hive,MATLAB",131961
157,"Microsoft SQL Server,MySQL,Project Management",131909
158,"Data Science,Project Management,Python",131872
159,"AI,Data Science,Kafka",131856
160,"Data Science,HBase,Hadoop",131765
161,"Data Science,Linux,Microsoft SQL Server",131697
162,"Data Science,MATLAB,MySQL",131676
163,"Data Science,Java,Project Management",131596
164,"Data Science,Java,Microsoft SQL Server",131554
165,"Hive,Microsoft SQL Server,Project Management",131527
166,"Project Management,Software Development,Tableau",131398
167,"Data Science,SQL,Tableau",131320
168,"AI,Data Science,Machine Learning",131280
169,"Data Science,MATLAB,Shell Scripting",131250
170,"AI,Data Science,Oracle",131106
171,"Project Management,SPSS,Tableau",131044
172,"MATLAB,Project Management,SAS",131026
173,"Project Management,SAS,Spark",131017
174,"Data Science,HBase,MATLAB",131003
175,"Microsoft SQL Server,SAS,SQL",130968
176,"Hadoop,Project Management,SQL",130933
177,"Business Intelligence,Data Science,Project Management",130888
178,"Data Science,Data Warehouse,Microsoft SQL Server",130720
179,"Perl,Project Management,Tableau",130702
180,"Data Science,Hive,SAS",130697
181,"Data Science,MATLAB,Natural Language Processing",130683
182,"Data Science,MySQL,SAS",130603
183,"Business Intelligence,Data Science,Microsoft SQL Server",130600
184,"Data Science,Hive,Tableau",130594
185,"HBase,Microsoft SQL Server,Project Management",130591
186,"Data Science,Data Warehouse,Project Management",130587
187,"Data Science,Hadoop",130537
188,".Net,Data Science,Hadoop",130537
189,"Microsoft SQL Server,Project Management,Scripting",130530
190,"Data Warehouse,Project Management,Tableau",130446
191,"AI,MATLAB,Tableau",130393
192,"Data Science,Hadoop,R",130340
193,"MATLAB,Microsoft SQL Server,SQL",130211
194,"Data Science,Hadoop,Pig",130144
195,"Microsoft Office,Project Management,Tableau",130139
196,"Data Science,Project Management,Scala",130102
197,"Data Science,Microsoft SQL Server,Scala",130042
198,"Microsoft SQL Server,Natural Language Processing,Project Management",129994
199,"Hadoop,Hive,Microsoft SQL Server",129962
200,"Azure,Data Science,Microsoft SQL Server",129918
201,"AI,Microsoft SQL Server,Shell Scripting",129811
202,"Data Science,HBase,SAS",129739
203,"Data Science,HBase,Tableau",129635
204,"Microsoft SQL Server,SQL,Spark",129617
205,"Data Analysis,Data Science,TensorFlow",129556
206,"Data Science,Natural Language Processing,SAS",129467
207,"AI,Data Science,Software Development",129446
208,"AI,Project Management,Scripting",129341
209,"Project Management,Spark,TensorFlow",129280
210,"AI,Data Science,Java",129234
211,"MATLAB,Project Management,SQL",129218
212,"Data Science,Natural Language Processing,Tableau",129206
213,".Net,Data Science,MATLAB",129191
214,"Data Science,MATLAB",129191
215,"Data Science,Hadoop,Oracle",129164
216,"Data Science,Java,Tableau",129140
217,"Hadoop,Project Management,TensorFlow",129133
218,"Data Science,MATLAB,R",129058
219,"AI,Project Management,Shell Scripting",129048
220,"Data Science,Hadoop,Kafka",129031
221,"Hadoop,Hive,Project Management",128937
222,"AI,Data Science,Microsoft Office",128882
223,"Data Science,MATLAB,Pig",128798
224,"Azure,Data Science,Project Management",128779
225,"Microsoft SQL Server,Project Management",128779
226,".Net,Microsoft SQL Server,Project Management",128779
227,"AI,Big Data,Microsoft SQL Server",128581
228,"Data Science,Microsoft Office,SAS",128527
229,"Microsoft SQL Server,Project Management,R",128451
230,"Data Analysis,Hadoop,Microsoft SQL Server",128389
231,"Microsoft SQL Server,Pig,Project Management",128364
232,"Data Science,Hadoop,Machine Learning",128246
233,"Project Management,SQL,Spark",128236
234,"Data Science,Scripting,TensorFlow",128041
235,"AI,Microsoft SQL Server,MySQL",127968
236,"Microsoft SQL Server,Shell Scripting,Tableau",127967
237,"Data Science,SAS",127927
238,".Net,Data Science,SAS",127927
239,"AI,Hive,Microsoft SQL Server",127891
240,"Project Management,SAS,SQL",127869
241,"Big Data,Data Science,Microsoft SQL Server",127844
242,"AI,SAS,Tableau",127831
243,"Data Science,Tableau",127824
244,".Net,Data Science,Tableau",127824
245,"Data Science,MATLAB,Microsoft Office",127781
246,"AI,Big Data,Project Management",127728
247,"Data Analysis,Data Science,Scripting",127702
248,"Data Science,R,SAS",127632
249,"Data Analysis,Hadoop,Project Management",127631
250,"Data Science,R,Tableau",127627
251,"AI,MySQL,Project Management",127575
252,"Data Science,SQL,TensorFlow",127549
253,"Business Intelligence,Data Science,Hadoop",127535
254,"Data Science,Pig,SAS",127534
255,"Data Science,Kafka,MATLAB",127476
256,"Big Data,Data Science,Project Management",127466
257,"AI,Hadoop,Tableau",127461
258,"Data Science,Pig,Tableau",127431
259,"AI,MATLAB,Spark",127321
260,"AI,AWS,Data Science",127277
261,"Machine Learning,Microsoft SQL Server,Project Management",127207
262,"AI,Hive,Project Management",127106
263,"Data Science,Microsoft SQL Server,PostgreSQL",127102
264,"Kafka,Microsoft SQL Server,Project Management",127064
265,"Data Analysis,Microsoft SQL Server,Spark",127039
266,"Microsoft SQL Server,Spark,TensorFlow",126995
267,"Data Analysis,Data Science,Shell Scripting",126966
268,"Data Analysis,Microsoft SQL Server,SAS",126966
269,"AI,HBase,Microsoft SQL Server",126933
270,"Data Science,Microsoft SQL Server,Python",126899
271,"Data Science,Hadoop,SPSS",126874
272,"Hadoop,Microsoft SQL Server,TensorFlow",126848
273,"Data Science,MATLAB,Machine Learning",126833
274,"Business Intelligence,Project Management,Tableau",126747
275,"AI,Tableau,TensorFlow",126690
276,"Data Analysis,MATLAB,Microsoft SQL Server",126678
277,"AI,Microsoft SQL Server,Natural Language Processing",126614
278,"Data Science,MATLAB,Oracle",126557
279,"Data Science,Hadoop,Software Development",126511
280,"AI,SQL,Tableau",126421
281,"Data Analysis,Data Science,SQL",126410
282,"Data Science,Oracle,Tableau",126339
283,"Data Analysis,MATLAB,Project Management",126308
284,"AI,Hadoop,Spark",126306
285,"Data Analysis,Project Management,Spark",126281
286,"Data Science,Kafka,SAS",126212
287,"Big Data,Microsoft SQL Server,Tableau",126202
288,"Data Science,Microsoft SQL Server,S3",126174
289,"AI,HBase,Project Management",126170
290,"Project Management,SQL,TensorFlow",126154
291,"AI,SAS,Spark",126148
292,"MATLAB,Project Management,TensorFlow",126140
293,"Data Science,Project Management,S3",126130
294,"AI,Microsoft SQL Server,Scripting",126101
295,"Hive,Microsoft SQL Server,Tableau",126047
296,"Data Science,Kafka,Tableau",126045
297,"Data Science,Oracle,SAS",125942
298,"Data Science,Hadoop,Microsoft Office",125848
299,"AI,MATLAB,SAS",125830
300,"Data Science,Hive,TensorFlow",125808
301,"Project Management,SAS,TensorFlow",125792
302,"Hadoop,Microsoft SQL Server,Shell Scripting",125695
303,"AI,MySQL,Tableau",125683
304,"Data Science,MySQL,TensorFlow",125671
305,"Data Science,Machine Learning,SAS",125636
306,"Microsoft SQL Server,Project Management,SPSS",125617
307,"AI,Natural Language Processing,Project Management",125572
308,"Data Science,Machine Learning,Tableau",125533
309,"Hadoop,Project Management,Scripting",125489
310,"Data Science,SAS,SPSS",125407
311,"Data Science,Oracle,Project Management",125288
312,"Data Science,Natural Language Processing,TensorFlow",125226
313,"Microsoft SQL Server,SAS,TensorFlow",125224
314,"Data Analysis,Data Science,Hive",125155
315,"Data Science,MATLAB,Software Development",125146
316,".Net,AI,Microsoft SQL Server",125121
317,"AI,Microsoft SQL Server",125121
318,"HBase,Microsoft SQL Server,Tableau",125089
319,"AI,Microsoft SQL Server,R",124941
320,"AI,Business Intelligence,Data Science",124875
321,"Data Science,HBase,TensorFlow",124849
322,"Microsoft SQL Server,Scripting,Tableau",124810
323,"Data Science,SQL,Scripting",124736
324,"Project Management,Scala,Tableau",124735
325,"AI,Microsoft SQL Server,Pig",124728
326,"Hadoop,MATLAB,Tableau",124713
327,"Hadoop,Project Management,Shell Scripting",124693
328,"Azure,Project Management,Tableau",124676
329,"Microsoft SQL Server,Natural Language Processing,Tableau",124660
330,"Data Science,Scripting,Shell Scripting",124560
331,"AI,Data Analysis,Spark",124547
332,"Data Science,MATLAB,SPSS",124534
333,"Data Analysis,Project Management,SAS",124490
334,"Microsoft SQL Server,Project Management,Software Development",124448
335,"Data Analysis,Data Science,Tableau",124395
336,"Data Science,Shell Scripting,TensorFlow",124391
337,".Net,AI,Project Management",124358
338,"AI,Project Management",124358
339,"MATLAB,SAS,Tableau",124315
340,"Microsoft SQL Server,Shell Scripting,Spark",124273
341,"Data Science,PostgreSQL,Project Management",124258
342,"Microsoft SQL Server,SQL,TensorFlow",124248
343,"AI,Data Analysis,MATLAB",124247
344,"Data Analysis,Data Science,HBase",124196
345,"Data Science,SQL,Shell Scripting",124187
346,"Data Analysis,Data Science,MySQL",124179
347,"AI,Hadoop,MATLAB",124170
348,"AWS,Microsoft SQL Server,Project Management",124156
349,"Project Management,Scripting,Spark",124116
350,"Project Management,Python,Tableau",124106
351,"Hadoop,Microsoft SQL Server,MySQL",124104
352,"AI,Project Management,R",124030
353,"Data Science,Microsoft SQL Server,Spark",123987
354,"Data Science,Project Management,Spark",123943
355,"AI,Pig,Project Management",123943
356,"Microsoft Office,Microsoft SQL Server,Project Management",123909
357,"MATLAB,Project Management,Scripting",123902
358,"Data Analysis,Data Science,Natural Language Processing",123877
359,"AI,Microsoft SQL Server,Oracle",123871
360,"Data Analysis,Microsoft SQL Server,SQL",123855
361,"AI,Data Science,Scala",123854
362,"Data Science,SAS,Software Development",123802
363,"Microsoft SQL Server,SAS,Shell Scripting",123759
364,"Data Science,Software Development,Tableau",123687
365,"Data Science,Hadoop,Linux",123656
366,"Big Data,Hadoop,Microsoft SQL Server",123638
367,"AWS,Data Science,Hadoop",123576
368,"AI,Machine Learning,Microsoft SQL Server",123549
369,"Hadoop,MySQL,Project Management",123472
370,"MATLAB,Microsoft SQL Server,TensorFlow",123467
371,"Data Analysis,Data Science,R",123460
372,"AI,Kafka,Microsoft SQL Server",123406
373,".Net,Microsoft SQL Server,Tableau",123277
374,"Microsoft SQL Server,Tableau",123277
375,"Project Management,Shell Scripting,Spark",123271
376,"Hive,Microsoft SQL Server,Spark",123190
377,"Hadoop,MATLAB,Spark",123120
378,"AI,MATLAB,SQL",123109
379,"AI,Data Analysis,SAS",123089
380,"Data Science,SPSS,Tableau",123055
381,"Data Science,TensorFlow",123038
382,".Net,Data Science,TensorFlow",123038
383,"Microsoft SQL Server,R,Tableau",123032
384,"Microsoft SQL Server,Oracle,Tableau",123007
385,"AWS,Data Science,SAS",122993
386,"Data Science,R,TensorFlow",122987
387,"Microsoft SQL Server,MySQL,Spark",122982
388,"Data Science,MySQL,Scripting",122971
389,"Microsoft SQL Server,Perl,Project Management",122922
390,"Microsoft SQL Server,Pig,Tableau",122884
391,"Data Science,Hive,Scripting",122855
392,"Data Science,Python,R",122778
393,"Big Data,MATLAB,Microsoft SQL Server",122723
394,"Data Analysis,Project Management,SQL",122718
395,"Big Data,Microsoft SQL Server,SAS",122717
396,"Hadoop,Microsoft SQL Server,Natural Language Processing",122701
397,"AI,Machine Learning,Project Management",122691
398,"Data Science,Pig,TensorFlow",122645
399,"AI,Kafka,Project Management",122643
400,"AI,Data Science,Python",122603
401,"AWS,Project Management,Tableau",122581
402,"AWS,Data Science,MATLAB",122553
403,"Big Data,Hadoop,Project Management",122546
404,"Data Science,MySQL,Shell Scripting",122496
405,"Hadoop,Microsoft SQL Server,Scripting",122488
406,"AI,Azure,Data Science",122473
407,"Data Science,MySQL,SQL",122464
408,"AI,SQL,Spark",122453
409,"AI,SAS,SQL",122419
410,"AI,Data Analysis,Hadoop",122415
411,".Net,Data Analysis,Data Science",122385
412,"Data Analysis,Data Science",122385
413,"MySQL,Project Management,Spark",122351
414,"Data Science,Microsoft Office,Tableau",122315
415,"Data Science,Hive,Shell Scripting",122300
416,"Data Warehouse,Microsoft SQL Server,Project Management",122292
417,"Data Science,Hive,SQL",122267
418,"Data Science,Perl,Project Management",122259
419,"MATLAB,SAS,Spark",122194
420,"Big Data,Microsoft SQL Server,Spark",122185
421,"HBase,Hadoop,Microsoft SQL Server",122184
422,"Project Management,S3,Tableau",122182
423,"Hive,Project Management,Spark",122165
424,"Microsoft SQL Server,MySQL,SAS",122097
425,"Hive,MATLAB,Microsoft SQL Server",122033
426,"Hive,Microsoft SQL Server,SAS",122028
427,"Big Data,MATLAB,Project Management",122018
428,"Data Analysis,Data Science,Pig",121992
429,"Data Science,HBase,Scripting",121969
430,"Hadoop,SQL,Tableau",121966
431,"MATLAB,SQL,Tableau",121923
432,"PostgreSQL,Project Management,Tableau",121922
433,"AI,Data Science,Linux",121919
434,"MATLAB,Microsoft SQL Server,MySQL",121911
435,"AI,Spark,TensorFlow",121857
436,"Project Management,SAS,Scripting",121749
437,"Data Science,Oracle,TensorFlow",121740
438,"Data Science,Linux,MATLAB",121729
439,"Microsoft SQL Server,SQL,Shell Scripting",121721
440,"Machine Learning,Microsoft SQL Server,Tableau",121705
441,"Data Analysis,Project Management,TensorFlow",121704
442,"AI,Hadoop,SQL",121668
443,"MATLAB,MySQL,Project Management",121668
444,"AI,Scripting,Tableau",121658
445,"AI,Data Science,Data Warehouse",121602
446,"AI,Shell Scripting,Tableau",121583
447,"Kafka,Microsoft SQL Server,Tableau",121499
448,"Data Science,Microsoft SQL Server,Perl",121445
449,"AI,Data Science,PostgreSQL",121431
450,"Hadoop,Natural Language Processing,Project Management",121420
451,"Hive,MATLAB,Project Management",121396
452,"HBase,Microsoft SQL Server,Spark",121395
453,"Data Science,HBase,Shell Scripting",121341
454,"Java,Microsoft SQL Server,Tableau",121329
455,"Data Science,Kafka,TensorFlow",121323
456,"MATLAB,Microsoft SQL Server,Shell Scripting",121322
457,"Data Science,HBase,SQL",121309
458,"Oracle,Project Management,Tableau",121261
459,"NoSQL,Project Management,Tableau",121256
460,"Data Science,Natural Language Processing,Scripting",121251
461,"AI,Big Data,Data Science",121197
462,"HBase,Hadoop,Project Management",121182
463,"Data Science,MATLAB,Python",121126
464,"Microsoft SQL Server,Scripting,Spark",121116
465,"Project Management,SQL,Scripting",121106
466,"Big Data,Project Management,Spark",121094
467,"Microsoft SQL Server,Natural Language Processing,Spark",121076
468,"HBase,MATLAB,Microsoft SQL Server",121075
469,"HBase,Microsoft SQL Server,SAS",121069
470,"Project Management,SAS,Shell Scripting",121039
