Salary,Job_Type,No_of_Skills,No_of_Reviews,No_of_Stars,Date_Since_Posted,Location,Revenue,Employees,Industry,skill_Python,skill_SQL,skill_Machine Learning,skill_R,skill_Hadoop,skill_Spark,skill_Java,skill_Tableau,skill_Data Mining,skill_Hive,skill_SAS,skill_Big Data,skill_AWS,skill_Scala,skill_NoSQL,skill_C/C++,skill_Natural Language Processing,skill_Oracle,skill_Data Warehouse,skill_Linux,skill_AI,skill_Microsoft SQL Server,skill_TensorFlow,skill_Kafka,skill_Data Analysis,skill_Azure,skill_MATLAB,skill_Microsoft Office,skill_Scripting,skill_Pig,skill_Git,skill_Microsoft Powerpoint,skill_Excel,skill_Design Experience,skill_JavaScript,skill_HBase,skill_Cassandra,skill_PostgreSQL,skill_MySQL,skill_Perl,skill_SPSS,skill_Software Development,skill_Shell Scripting,skill_Data Science,skill_Docker,skill_MongoDB,skill_.Net,skill_Project Management,skill_Business Intelligence,skill_S3,skill_Statisical Analysis,skill_C#,skill_Informatica,skill_Ruby,skill_Google Cloud Platform,skill_Elasticsearch,skill_Image Processing,skill_Power BI,skill_TS/SCI Clearance,skill_OOP,skill_Teradata,skill_Statistical Software,skill_Microsoft Access,skill_REST,skill_CI/CD,skill_Splunk,skill_Marketing,skill_JSON,skill_SDLC,skill_Jira,skill_Data Management,skill_Quantitative Analysis,skill_Leadership Experience,skill_Apache,skill_DynamoDB,skill_Jenkins,skill_XML,skill_SAP,skill_PHP,skill_Alteryx,skill_Time Management,skill_HTML5,skill_Visual Basic,skill_STATA,skill_QlikView,skill_Analysis Skills,skill_Solr,skill_Military Experience,skill_T-SQL,skill_Business Analysis,skill_Kubernetes,skill_Predictive Analytics,skill_Network,skill_Visio,skill_PL/SQL,skill_CI,skill_DB2,skill_Go,skill_CSS,skill_Cloud Computing,skill_Microsoft Word,skill_Pentaho,skill_GIS,skill_SVN,skill_Sentiment Analytics,skill_SharePoint,skill_Signal Processing,skill_Angular,skill_Confluence,skill_Crystal Reports,skill_Google Analytics,skill_Design Patterns,skill_Experimental Design,skill_Unit Testing,skill_Troubleshooting,skill_Weka,skill_Chef,skill_CompTIA Security+,skill_Database Administration,skill_IT Experience,skill_Maven,skill_Threading,skill_System Design,skill_Ansible,skill_PowerShell,skill_Redis
<80000,data_scientist,2,3301,3.299999952,1,MO,> $10B ,"10,000+",Health Care,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
<80000,data_scientist,5,,,15,TX,,,,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
<80000,data_scientist,9,62,3.5,1,OR,,,,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
<80000,data_scientist,1,158,4.300000191,30,DC,,,Government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
<80000,data_scientist,7,495,4.099999905,30,TX,,"< 10,000",Banks and Financial Services,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
<80000,data_scientist,6,173,4.300000191,30,MD,,,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
<80000,data_scientist,10,30,3.799999952,5,NY,,,Government,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
<80000,data_scientist,3,,,10,GA,,,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
<80000,data_scientist,4,233,4.199999809,1,ID,,,Education and Schools,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
<80000,data_scientist,6,4227,4.300000191,22,MO,,"10,000+",Government,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
<80000,data_scientist,8,541,4.199999809,1,PA,,,Education and Schools,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
