Id,Source,Target,Type,Weight,nodes,links
0,Python,Python,Directed,420,"opts.GraphNode(name=""Python"",symbol_size=420),","opts.GraphLink(source=""Python"", target=""Python""),"
1,Python,SQL,Directed,362,"opts.GraphNode(name=""SQL"",symbol_size=362),","opts.GraphLink(source=""Python"", target=""SQL""),"
2,Python,Machine Learning,Directed,14,"opts.GraphNode(name=""Machine Learning"",symbol_size=14),","opts.GraphLink(source=""Python"", target=""Machine Learning""),"
3,Python,R,Directed,380,"opts.GraphNode(name=""R"",symbol_size=380),","opts.GraphLink(source=""Python"", target=""R""),"
4,Python,Hadoop,Directed,22,"opts.GraphNode(name=""Hadoop"",symbol_size=22),","opts.GraphLink(source=""Python"", target=""Hadoop""),"
5,Python,Spark,Directed,22,"opts.GraphNode(name=""Spark"",symbol_size=22),","opts.GraphLink(source=""Python"", target=""Spark""),"
6,Python,Java,Directed,74,"opts.GraphNode(name=""Java"",symbol_size=74),","opts.GraphLink(source=""Python"", target=""Java""),"
7,Python,Tableau,Directed,210,"opts.GraphNode(name=""Tableau"",symbol_size=210),","opts.GraphLink(source=""Python"", target=""Tableau""),"
8,Python,Hive,Directed,12,"opts.GraphNode(name=""Hive"",symbol_size=12),","opts.GraphLink(source=""Python"", target=""Hive""),"
9,Python,SAS,Directed,80,"opts.GraphNode(name=""SAS"",symbol_size=80),","opts.GraphLink(source=""Python"", target=""SAS""),"
10,Python,Big Data,Directed,12,"opts.GraphNode(name=""Big Data"",symbol_size=12),","opts.GraphLink(source=""Python"", target=""Big Data""),"
11,Python,AWS,Directed,38,"opts.GraphNode(name=""AWS"",symbol_size=38),","opts.GraphLink(source=""Python"", target=""AWS""),"
12,Python,Scala,Directed,16,"opts.GraphNode(name=""Scala"",symbol_size=16),","opts.GraphLink(source=""Python"", target=""Scala""),"
13,Python,NoSQL,Directed,8,"opts.GraphNode(name=""NoSQL"",symbol_size=8),","opts.GraphLink(source=""Python"", target=""NoSQL""),"
14,Python,C/C++,Directed,4,"opts.GraphNode(name=""C/C++"",symbol_size=4),","opts.GraphLink(source=""Python"", target=""C/C++""),"
15,Python,Oracle,Directed,32,"opts.GraphNode(name=""Oracle"",symbol_size=32),","opts.GraphLink(source=""Python"", target=""Oracle""),"
16,Python,Data Warehouse,Directed,10,"opts.GraphNode(name=""Data Warehouse"",symbol_size=10),","opts.GraphLink(source=""Python"", target=""Data Warehouse""),"
17,Python,Linux,Directed,16,"opts.GraphNode(name=""Linux"",symbol_size=16),","opts.GraphLink(source=""Python"", target=""Linux""),"
18,Python,AI,Directed,32,"opts.GraphNode(name=""AI"",symbol_size=32),","opts.GraphLink(source=""Python"", target=""AI""),"
19,Python,Microsoft SQL Server,Directed,12,"opts.GraphNode(name=""Microsoft SQL Server"",symbol_size=12),","opts.GraphLink(source=""Python"", target=""Microsoft SQL Server""),"
