Salary1,Salary2,Job_Type,Skill,No_of_Skills,No_of_Reviews,No_of_Stars,Date_Since_Posted,Location,Revenue,Employees,Industry
less than80000,80000,data_scientist,"SAP, SQL",2,3301,3.299999952,1,MO,more than $10B ,"10,000+",Health Care
less than80000,80000,data_scientist,"Machine Learning, R, SAS, SQL, Python",5,,,15,TX,,,
less than80000,80000,data_scientist,"Data Mining, Data Management, R, SAS, SQL, STATA, SPSS, Data Analysis, Python",9,62,3.5,1,OR,,,
less than80000,80000,data_scientist,Certified Internal Auditor,1,158,4.300000191,30,DC,,,Government
less than80000,80000,data_scientist,"Statistical Software, Time Management, R, Microsoft Office, Excel, Tableau, Data Science",7,495,4.099999905,30,TX,,"less than 10,000",Banks and Financial Services
less than80000,80000,data_scientist,"AI, Quantitative Analysis, Data Mining, Machine Learning, Analysis Skills, CSS",6,173,4.300000191,30,MD,,,
less than80000,80000,data_scientist,"Statistical Software, Machine Learning, R, Image Processing, SQL, Cloud Computing, ArcGIS, GIS, Python, AWS",10,30,3.799999952,5,NY,,,Government
less than80000,80000,data_scientist,"Machine Learning, R, SQL",3,,,10,GA,,,
less than80000,80000,data_scientist,"Linux, R, C/C++, Python",4,233,4.199999809,1,ID,,,Education and Schools
less than80000,80000,data_scientist,"JavaScript, Data Mining, TS/SCI Clearance, R, C/C++, Python",6,4227,4.300000191,22,MO,,"10,000+",Government
less than80000,80000,data_scientist,"Machine Learning, R, SPSS, Data Analysis, Statistical Software, Data Mining, SAS, Python",8,541,4.199999809,1,PA,,,Education and Schools
less than80000,80000,data_scientist,"Machine Learning, R, SPSS, Data Analysis, Statistical Software, Data Mining, SAS, Python",8,541,4.199999809,1,PA,,,Education and Schools
less than80000,80000,data_scientist,"Machine Learning, Analysis Skills, Data Science",3,150,4.300000191,30,TX,less than $1B ,"less than 10,000",Education and Schools
less than80000,80000,data_scientist,"Machine Learning, Python",2,,,6,GA,,,
less than80000,80000,data_scientist,"TensorFlow, Project Planning, Linux, Machine Learning, C/C++, Python, Jira",7,81,3.200000048,30,GA,less than $1B ,"less than 10,000",Consulting and Business Services
less than80000,80000,data_scientist,"Machine Learning, R, Statisical Analysis, SPSS, Statistical Software, Data Mining, Scala, Tableau, Java, ""Drivers License"", Python",11,16,3.900000095,1,FL,,"less than 10,000",Education and Schools
less than80000,80000,data_scientist,"Machine Learning, R, SQL, Analysis Skills, Python, Data Science",6,,,30,MA,,,
less than80000,80000,data_scientist,"Microsoft SQL Server, Data Mining, Machine Learning, Visual Basic, R, SAS, SQL, Excel, Tableau, Microsoft Access, SPSS, Python",12,7197,4,30,VA,,"10,000+",Consulting and Business Services
less than80000,80000,data_scientist,Machine Learning,1,2234,4,11,NJ,more than $10B ,"10,000+",Energy and Utilities
less than80000,80000,data_scientist,"LMRT, Machine Learning",2,278,4.199999809,5,MA,,,Education and Schools
less than80000,80000,data_scientist,"AI, Data Mining, Machine Learning, R, Natural Language Processing, Data Science, Python",7,1299,3.900000095,30,LA,,"10,000+",Health Care
less than80000,80000,data_scientist,"IIS, TS/SCI Clearance",2,3166,4,30,MO,more than $10B ,"10,000+",Aerospace and Defense
less than80000,80000,data_scientist,"IIS, TS/SCI Clearance",2,3166,4,30,MO,more than $10B ,"10,000+",Aerospace and Defense
less than80000,80000,data_scientist,"Statistical Software, SAS, SQL, Tableau",4,265,4.099999905,30,NY,,,Government
