,name,avg,max,min,importance
0,Machine Learning,84642.5,108996,60289,0.019540123641490936
1,MATLAB,77986.0,99230,56742,0.00678212009370327
2,Shell Scripting,75616.5,96245,54988,0.028200155124068264
3,SAS,74210.0,94629,53791,0.03555431589484215
4,Microsoft SQL Server,73779.0,92118,55440,0.011303304694592951
5,.Net,73623.5,98431,48816,0.026995249092578888
6,Spark,72954.0,91974,53934,0.022963421419262886
7,Software Development,72863.0,91539,54187,0.032045166939496994
8,Hadoop,72596.5,85062,60131,0.03356577828526497
9,Oracle,72038.5,91269,52808,0.025168636813759804
10,Hive,71631.0,89119,54143,0.034947872161865234
11,Git,70913.0,94311,47515,0.009383786469697952
12,Python,70894.5,85507,56282,0.0423610620200634
13,SQL,67994.0,85145,50843,0.03415660560131073
14,C/C++,67141.5,84233,50050,0.003586288308724761
15,Data Science,67071.5,82679,51464,0.01756822131574154
16,R,66596.5,83896,49297,0.05301719531416893
17,Business Intelligence,66545.5,82661,50430,0.0279307272285223
18,Data Analysis,66460.5,83209,49712,0.032459359616041183
19,Tableau,66406.0,82537,50275,0.02101515419781208
20,Cassandra,66174.0,82298,50050,0.0
21,TensorFlow,66174.0,82298,50050,0.0
22,Kafka,66174.0,82298,50050,0.0
23,Natural Language Processing,65907.0,81764,50050,0.0
24,HBase,65314.5,82195,48434,0.0010354017140343783
25,Big Data,65183.5,80317,50050,0.008130506612360476
26,JavaScript,65070.0,86812,43328,0.005487537011504172
27,Scripting,64567.5,77388,51747,0.0210613626986742
28,Linux,64565.5,79710,49421,0.008713187649846077
29,MongoDB,64539.0,80298,48780,0.008354321122169495
30,Java,64038.5,81340,46737,0.04958713799715042
31,SPSS,63280.0,77742,48818,0.0421387143433094
32,NoSQL,62040.5,76769,47312,0.03160591796040535
33,Perl,61939.5,74667,49212,0.011436332017183304
34,AWS,61807.0,75289,48325,0.02680562250316143
35,Azure,61751.5,73485,50018,0.0022591811139136553
36,MySQL,61351.5,72987,49716,0.0207915548235178
37,AI,61188.5,75635,46742,0.02599578537046909
38,Data Warehouse,61002.5,72966,49039,0.031210832297801968
39,Scala,60721.0,78287,43155,0.014155738055706024
40,Microsoft Office,60633.0,77040,44226,0.02489533275365829
41,S3,60397.5,74019,46776,0.010875958949327469
42,Project Management,57452.5,70902,44003,0.03711216524243355
43,Excel,52461.5,66776,38147,0.0373152494430542
44,PostgreSQL,50909.0,64745,37073,0.02138485200703144
45,Pig,47503.5,57801,37206,0.022525208070874214
