skills1,skills2,rel
Python,SQL,0.780172414
Python,Machine Learning,0.030172414
Python,R,0.818965517
Python,Hadoop,0.047413793
Python,Spark,0.047413793
Python,Java,0.159482759
Python,Tableau,0.452586207
Python,Hive,0.025862069
Python,SAS,0.172413793
Python,Big Data,0.025862069
Python,AWS,0.081896552
Python,Scala,0.034482759
Python,NoSQL,0.017241379
Python,C/C++,0.00862069
Python,Oracle,0.068965517
Python,Data Warehouse,0.021551724
Python,Linux,0.034482759
Python,AI,0.068965517
Python,Microsoft SQL Server,0.025862069
Python,TensorFlow,0.00862069
Python,Kafka,0.004310345
Python,Data Analysis,0.017241379
Python,Azure,0.021551724
Python,MATLAB,0.017241379
Python,Microsoft Office,0.081896552
Python,Scripting,0.012931034
Python,Git,0.021551724
Python,Excel,0.568965517
Python,JavaScript,0.056034483
Python,HBase,0.004310345
Python,PostgreSQL,0.012931034
Python,MySQL,0.038793103
Python,Perl,0.025862069
Python,SPSS,0.043103448
Python,Software Development,0.004310345
Python,Data Science,0.150862069
Python,MongoDB,0.00862069
Python,Project Management,0.021551724
Python,Business Intelligence,0.155172414
Python,S3,0.034482759
Python,C#,0.043103448
Python,Informatica,0.030172414
Python,Ruby,0.025862069
Python,Google Cloud Platform,0.034482759
Python,Elasticsearch,0.00862069
Python,Power BI,0.060344828
Python,Teradata,0.00862069
Python,Statistical Software,0.004310345
Python,Microsoft Access,0.00862069
Python,REST,0.004310345
Python,Splunk,0.004310345
Python,Marketing,0.099137931
Python,JSON,0.012931034
Python,SDLC,0.004310345
Python,Jira,0.00862069
Python,Data Management,0.012931034
Python,Quantitative Analysis,0.004310345
Python,Apache,0.012931034
Python,Jenkins,0.004310345
Python,XML,0.012931034
Python,SAP,0.012931034
Python,PHP,0.021551724
Python,Alteryx,0.025862069
Python,HTML5,0.00862069
Python,Visual Basic,0.017241379
Python,STATA,0.021551724
Python,QlikView,0.017241379
Python,Solr,0.004310345
Python,Business Analysis,0.004310345
Python,Predictive Analytics,0.00862069
Python,Network,0.012931034
Python,Visio,0.047413793
Python,PL/SQL,0.012931034
Python,CI,0.017241379
Python,DB2,0.00862069
Python,Go,0.206896552
Python,CSS,0.025862069
Python,Microsoft Word,0.004310345
Python,Pentaho,0.004310345
Python,GIS,0.030172414
Python,SharePoint,0.012931034
Python,Angular,0.00862069
Python,Confluence,0.00862069
Python,Crystal Reports,0.00862069
Python,Google Analytics,0.077586207
Python,Maven,0.004310345
Python,Ansible,0.004310345
Python,PowerShell,0.00862069
Python,Redis,0.004310345
Python,Lucene,0.004310345
Python,Digital Marketing,0.017241379
Python,Node.js,0.00862069
Python,Salesforce CRM,0.004310345
Python,React,0.00862069
Python,Information Security,0.004310345
Python,Management Experience,0.004310345
Python,Spring,0.004310345
Python,Accounting,0.034482759
Python,Kanban,0.00862069
Python,Clojure,0.004310345
Python,SaaS,0.034482759
Python,Epic,0.00862069
Python,OBIEE,0.004310345
Python,Omniture,0.030172414
Python,Operations Research,0.017241379
Python,Bioinformatics,0.004310345
Python,Customer Segmentation,0.004310345
Python,Quantitative Research,0.00862069
Python,Doubleclick,0.004310345
Python,Telecommunication,0.004310345
Python,iOS,0.004310345
Python,Adobe Marketing,0.004310345
Python,Audits,0.004310345
Python,SSH,0.004310345
Python,UI,0.012931034
Python,Sybase,0.004310345
Python,Workday,0.017241379
Python,Quality Management,0.00862069
Python,Tomcat,0.004310345
Python,Application Support,0.004310345
Python,Bootstrap,0.004310345
Python,Clinical Research,0.004310345
Python,Marketing Mix Modeling,0.004310345
Python,SSL,0.004310345
Python,UX,0.004310345
Python,Windows,0.00862069
Python,Epidemiology,0.004310345
Python,PostGIS,0.004310345
Python,Ant,0.004310345
Python,ICD-10,0.004310345
Python,VersionOne,0.00862069
Python,Marketo,0.004310345
Python,ACH,0.004310345
Python,Biostatistics,0.021551724
Python,Cerner,0.004310345
Python,IDS,0.012931034
Python,RN,0.012931034
Python,Android,0.00862069
Python,Business Management,0.017241379
Python,Genetics,0.004310345
Python,Google Search Console,0.004310345
Python,SEO,0.012931034
SQL,Python,0.780172414
SQL,Machine Learning,0.025862069
SQL,R,1.594827586
SQL,Hadoop,0.047413793
SQL,Spark,0.047413793
SQL,Java,0.163793103
SQL,Tableau,0.780172414
SQL,Hive,0.030172414
SQL,SAS,0.349137931
SQL,Big Data,0.034482759
SQL,AWS,0.090517241
SQL,Scala,0.025862069
SQL,NoSQL,0.021551724
SQL,C/C++,0.00862069
SQL,Oracle,0.181034483
SQL,Data Warehouse,0.060344828
